ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
12691|Radiant Kavu|{R}{G}{W}|Creature - Kavu|3|3|{R}{G}{W}: Prevent all combat damage blue creatures and black creatures would deal this turn.|Planeshift|Rare|0.0||3.775|Ron Spencer|120||{R}{G}{W}: Prevent all combat damage blue creatures and black creatures would deal this turn.|0|
15144|Dralnu's Pet|{1}{U}{U}|Creature - Shapeshifter|2|2|Kicker—{2}{B}, Discard a creature card. <i>(You may pay {2}{B} and discard a creature card in addition to any other costs as you cast this spell.)</i><br>If Dralnu's Pet was kicked, it enters the battlefield with flying and with X +1/+1 counters on it, where X is the discarded card's converted mana cost.|Planeshift|Rare|0.0||3.609|Glen Angus|23||Kicker—{2}{B}, Discard a creature card. <i>(You may pay {2}{B} and discard a creature card in addition to any other costs as you cast this spell.)</i><br>If Dralnu's Pet was kicked, it enters the battlefield with flying and with X +1/+1 counters on it, where X is the discarded card's converted mana cost.|0|
19141|Guard Dogs|{3}{W}|Creature - Hound|2|2|{2}{W}, {T}: Choose a permanent you control. Prevent all combat damage target creature would deal this turn if it shares a color with that permanent.|Planeshift|Uncommon|0.0||2.6|Mike Raabe|5||{2}{W}, {T}: Choose a permanent you control. Prevent all combat damage target creature would deal this turn if it shares a color with that permanent.|0|
19149|Ancient Spider|{2}{G}{W}|Creature - Spider|2|5|First strike; reach <i>(This creature can block creatures with flying.)</i>|Planeshift|Rare|0.0||3.368|Greg Staples|96||First strike; reach <i>(This creature can block creatures with flying.)</i>|0|
19358|Keldon Mantle|{1}{R}|Enchantment - Aura|||Enchant creature<br>{B}: Regenerate enchanted creature.<br>{R}: Enchanted creature gets +1/+0 until end of turn.<br>{G}: Enchanted creature gains trample until end of turn.|Planeshift|Common|0.0||3.545|Rebecca Guay|65||Enchant creature<br>{B}: Regenerate enchanted creature.<br>{R}: Enchanted creature gets +1/+0 until end of turn.<br>{G}: Enchanted creature gains trample until end of turn.|0|
21276|Escape Routes|{2}{U}|Enchantment|||{2}{U}: Return target white or black creature you control to its owner's hand.|Planeshift|Common|0.0||2.656|Marc Fishman|25||{2}{U}: Return target white or black creature you control to its owner's hand.|0|
21323|Keldon Twilight|{1}{B}{R}|Enchantment|||At the beginning of each player's end step, if no creatures attacked this turn, that player sacrifices a creature he or she controlled since the beginning of the turn.|Planeshift|Rare|0.0||2.656|Franz Vohwinkel|112||At the beginning of each player's end step, if no creatures attacked this turn, that player sacrifices a creature he or she controlled since the beginning of the turn.|0|
22025|Slingshot Goblin|{2}{R}|Creature - Goblin|2|2|{R}, {T}: Slingshot Goblin deals 2 damage to target blue creature.|Planeshift|Common|0.0||2.25|Jeff Easley|72||{R}, {T}: Slingshot Goblin deals 2 damage to target blue creature.|0|
22298|Multani's Harmony|{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has "{T}: Add one mana of any color to your mana pool."|Planeshift|Uncommon|0.0||3.7|Darrell Riche|84||Enchant creature<br>Enchanted creature has "{T}: Add one mana of any color to your mana pool."|0|
22962|Samite Elder|{2}{W}|Creature - Human Cleric|1|2|{T}: Creatures you control gain protection from the colors of target permanent you control until end of turn.|Planeshift|Rare|0.0||3.4|Terese Nielsen|14||{T}: Creatures you control gain protection from the colors of target permanent you control until end of turn.|0|
22980|Hunting Drake|{4}{U}|Creature - Drake|2|2|Flying<br>When Hunting Drake enters the battlefield, put target red or green creature on top of its owner's library.|Planeshift|Common|0.0||2.727|Wayne England|27||Flying<br>When Hunting Drake enters the battlefield, put target red or green creature on top of its owner's library.|0|
23051|Doomsday Specter|{2}{U}{B}|Creature - Specter|2|3|Flying<br>When Doomsday Specter enters the battlefield, return a blue or black creature you control to its owner's hand.<br>Whenever Doomsday Specter deals combat damage to a player, look at that player's hand and choose a card from it. The player discards that card.|Planeshift|Rare|0.0||3.943|Donato Giancola|103||Flying<br>When Doomsday Specter enters the battlefield, return a blue or black creature you control to its owner's hand.<br>Whenever Doomsday Specter deals combat damage to a player, look at that player's hand and choose a card from it. The player discards that card.|0|
23113|Pygmy Kavu|{3}{G}|Creature - Kavu|1|2|When Pygmy Kavu enters the battlefield, draw a card for each black creature your opponents control.|Planeshift|Common|0.0||2.656|Greg Staples|88||When Pygmy Kavu enters the battlefield, draw a card for each black creature your opponents control.|0|
25614|Ertai, the Corrupted|{2}{W}{U}{B}|Legendary Creature - Human Wizard|3|4|{U}, {T}, Sacrifice a creature or enchantment: Counter target spell.|Planeshift|Rare|0.0||4.037|Mark Tedin|107||{U}, {T}, Sacrifice a creature or enchantment: Counter target spell.|0|
25615|Sunscape Familiar|{1}{W}|Creature - Wall|0|3|Defender <i>(This creature can't attack.)</i><br>Green spells and blue spells you cast cost {1} less to cast.|Planeshift|Common|0.0||4.021|Brian Despain|17||Defender <i>(This creature can't attack.)</i><br>Green spells and blue spells you cast cost {1} less to cast.|0|
25616|Stormscape Familiar|{1}{U}|Creature - Bird|1|1|Flying<br>White spells and black spells you cast cost {1} less to cast.|Planeshift|Common|0.0||4.409|Heather Hudson|36||Flying<br>White spells and black spells you cast cost {1} less to cast.|0|
