ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
109082|Skyknight Legionnaire|{1}{R}{W}|Creature - Human Knight|2|2|Flying, haste|Ravnica: City of Guilds|Common|Jim Murray|232|Flying, haste|
83556|Plague Boiler|{3}|Artifact|||At the beginning of your upkeep, put a plague counter on Plague Boiler.<br>{1}{B}{G}: Put a plague counter on Plague Boiler or remove a plague counter from it.<br>When Plague Boiler has three or more plague counters on it, sacrifice it. If you do, destroy all nonland permanents.|Ravnica: City of Guilds|Rare|Mark Tedin|269|At the beginning of your upkeep, put a plague counter on Plague Boiler.<br>{1}{B}{G}: Put a plague counter on Plague Boiler or remove a plague counter from it.<br>When Plague Boiler has three or more plague counters on it, sacrifice it. If you do, destroy all nonland permanents.|
83559|Vinelasher Kudzu|{1}{G}|Creature - Plant|1|1|Whenever a land enters the battlefield under your control, put a +1/+1 counter on Vinelasher Kudzu.|Ravnica: City of Guilds|Rare|Mark Tedin|189|Whenever a land enters the battlefield under your control, put a +1/+1 counter on Vinelasher Kudzu.|
83562|Flame-Kin Zealot|{1}{R}{R}{W}|Creature - Elemental Berserker|2|2|When Flame-Kin Zealot enters the battlefield, creatures you control get +1/+1 and gain haste until end of turn.|Ravnica: City of Guilds|Uncommon|Arnie Swekel|206|When Flame-Kin Zealot enters the battlefield, creatures you control get +1/+1 and gain haste until end of turn.|
83567|Cleansing Beam|{4}{R}|Instant|||Radiance- Cleansing Beam deals 2 damage to target creature and each other creature that shares a color with it.|Ravnica: City of Guilds|Uncommon|Pat Lee|118|Radiance- Cleansing Beam deals 2 damage to target creature and each other creature that shares a color with it.|
83572|Master Warcraft|{2}{R/W}{R/W}|Instant|||Cast Master Warcraft only before attackers are declared.<br>You choose which creatures attack this turn.<br>You choose which creatures block this turn and how those creatures block.|Ravnica: City of Guilds|Rare|Zoltan Boros & Gabor Szikszai|250|Cast Master Warcraft only before attackers are declared.<br>You choose which creatures attack this turn.<br>You choose which creatures block this turn and how those creatures block.|
83573|Hunted Phantasm|{1}{U}{U}|Creature - Spirit|4|6|Hunted Phantasm is unblockable.<br>When Hunted Phantasm enters the battlefield, put five 1/1 red Goblin creature tokens onto the battlefield under target opponent's control.|Ravnica: City of Guilds|Rare|Justin Sweet|55|Hunted Phantasm is unblockable.<br>When Hunted Phantasm enters the battlefield, put five 1/1 red Goblin creature tokens onto the battlefield under target opponent's control.|
83576|Thoughtpicker Witch|{B}|Creature - Human Wizard|1|1|{1}, Sacrifice a creature: Look at the top two cards of target opponent's library, then exile one of them.|Ravnica: City of Guilds|Common|Pete Venters|109|{1}, Sacrifice a creature: Look at the top two cards of target opponent's library, then exile one of them.|
83588|Boros Swiftblade|{R}{W}|Creature - Human Soldier|1|2|Double strike|Ravnica: City of Guilds|Uncommon|Doug Chaffee|193|Double strike|
83597|Glimpse the Unthinkable|{U}{B}|Sorcery|||Target player puts the top ten cards of his or her library into his or her graveyard.|Ravnica: City of Guilds|Rare|Brandon Kitkouski|208|Target player puts the top ten cards of his or her library into his or her graveyard.|
83599|Keening Banshee|{2}{B}{B}|Creature - Spirit|2|2|Flying<br>When Keening Banshee enters the battlefield, target creature gets -2/-2 until end of turn.|Ravnica: City of Guilds|Uncommon|Robert Bliss|92|Flying<br>When Keening Banshee enters the battlefield, target creature gets -2/-2 until end of turn.|
83602|Flickerform|{1}{W}|Enchantment - Aura|||Enchant creature<br>{2}{W}{W}: Exile enchanted creature and all Auras attached to it. At the beginning of the next end step, return that card to the battlefield under its owner's control. If you do, return those Auras to the battlefield under their owners' control attached to that creature.|Ravnica: City of Guilds|Rare|Ron Spears|18|Enchant creature<br>{2}{W}{W}: Exile enchanted creature and all Auras attached to it. At the beginning of the next end step, return that card to the battlefield under its owner's control. If you do, return those Auras to the battlefield under their owners' control attached to that creature.|
83605|Viashino Slasher|{1}{R}|Creature - Viashino Warrior|1|2|{R}: Viashino Slasher gets +1/-1 until end of turn.|Ravnica: City of Guilds|Common|Glenn Fabry|149|{R}: Viashino Slasher gets +1/-1 until end of turn.|
