ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
439688|Admiral's Order|{1}{U}{U}|Instant|||Raid- If you attacked with a creature this turn, you may pay {U} rather than pay this spell's mana cost.<br>Counter target spell.|Rivals of Ixalan|Rare|Slawomir Maniak|31|Raid- If you attacked with a creature this turn, you may pay {U} rather than pay this spell's mana cost.<br>Counter target spell.|
439779|Aggressive Urge|{1}{G}|Instant|||Target creature gets +1/+1 until end of turn.<br>Draw a card.|Rivals of Ixalan|Common|Jakub Kasper|122|Target creature gets +1/+1 until end of turn.<br>Draw a card.|
441895|Angrath, Minotaur Pirate|{4}{B}{R}|Legendary Planeswalker - Angrath||5|+2: Angrath, Minotaur Pirate deals 1 damage to target opponent or planeswalker and each creature that player or that planeswalker's controller controls.<br>−3: Return target Pirate card from your graveyard to the battlefield.<br>−11: Destroy all creatures target opponent controls. Angrath, Minotaur Pirate deals damage to that player equal to their total power.|Rivals of Ixalan|Mythic Rare|Chris Rahn|201|+2: Angrath, Minotaur Pirate deals 1 damage to target opponent or planeswalker and each creature that player or that planeswalker's controller controls.<br>−3: Return target Pirate card from your graveyard to the battlefield.<br>−11: Destroy all creatures target opponent controls. Angrath, Minotaur Pirate deals damage to that player equal to their total power.|
439809|Angrath, the Flame-Chained|{3}{B}{R}|Legendary Planeswalker - Angrath||4|+1: Each opponent discards a card and loses 2 life.<br>−3: Gain control of target creature until end of turn. Untap it. It gains haste until end of turn. Sacrifice it at the beginning of the next end step if it has converted mana cost 3 or less.<br>−8: Each opponent loses life equal to the number of cards in their graveyard.|Rivals of Ixalan|Mythic Rare|Raymond Swanland|152|+1: Each opponent discards a card and loses 2 life.<br>−3: Gain control of target creature until end of turn. Untap it. It gains haste until end of turn. Sacrifice it at the beginning of the next end step if it has converted mana cost 3 or less.<br>−8: Each opponent loses life equal to the number of cards in their graveyard.|
441896|Angrath's Ambusher|{2}{B}|Creature - Orc Pirate|2|3|Angrath's Ambusher gets +2/+0 as long as you control an Angrath planeswalker.|Rivals of Ixalan|Uncommon|David Palumbo|202|Angrath's Ambusher gets +2/+0 as long as you control an Angrath planeswalker.|
441898|Angrath's Fury|{3}{B}{R}|Sorcery|||Destroy target creature. Angrath's Fury deals 3 damage to target player or planeswalker. You may search your library and/or graveyard for a card named Angrath, Minotaur Pirate, reveal it, and put it into your hand. If you search your library this way, shuffle it.|Rivals of Ixalan|Rare|Lake Hurwitz|204|Destroy target creature. Angrath's Fury deals 3 damage to target player or planeswalker. You may search your library and/or graveyard for a card named Angrath, Minotaur Pirate, reveal it, and put it into your hand. If you search your library this way, shuffle it.|
439689|Aquatic Incursion|{3}{U}|Enchantment|||When Aquatic Incursion enters the battlefield, create two 1/1 blue Merfolk creature tokens with hexproof. <i>(They can't be the targets of spells or abilities your opponents control.)</i><br>{3}{U}: Target Merfolk can't be blocked this turn.|Rivals of Ixalan|Uncommon|Jason Rainville|32|When Aquatic Incursion enters the battlefield, create two 1/1 blue Merfolk creature tokens with hexproof. <i>(They can't be the targets of spells or abilities your opponents control.)</i><br>{3}{U}: Target Merfolk can't be blocked this turn.|
439849|Arch of Orazca||Land|||Ascend <i>(If you control ten or more permanents, you get the city's blessing for the rest of the game.)</i><br>{T}: Add {C}.<br>{5}, {T}: Draw a card. Activate this ability only if you have the city's blessing.|Rivals of Ixalan|Rare|Titus Lunter|185|Ascend <i>(If you control ten or more permanents, you get the city's blessing for the rest of the game.)</i><br>{T}: Add {C}.<br>{5}, {T}: Draw a card. Activate this ability only if you have the city's blessing.|
439719|Arterial Flow|{1}{B}{B}|Sorcery|||Each opponent discards two cards. If you control a Vampire, each opponent loses 2 life and you gain 2 life.|Rivals of Ixalan|Uncommon|Josh Hass|62|Each opponent discards two cards. If you control a Vampire, each opponent loses 2 life and you gain 2 life.|
439819|Atzal, Cave of Eternity||Legendary Land|||<i>(Transforms from Journey to Eternity.)</i><br>{T}: Add one mana of any color.<br>{3}{B}{G}, {T}: Return target creature card from your graveyard to the battlefield.|Rivals of Ixalan|Rare|Deruchenko Alexander|160|<i>(Transforms from Journey to Eternity.)</i><br>{T}: Add one mana of any color.<br>{3}{B}{G}, {T}: Return target creature card from your graveyard to the battlefield.|
