ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
457387|Azorius Guildgate||Land-- Gate|||Azorius Guildgate enters the battlefield tapped.<br>{T}: Add {W} or {U}.|Ravnica Allegiance|Common|Titus Lunter|243|Azorius Guildgate enters the battlefield tapped.<br>{T}: Add {W} or {U}.|
457393|Gruul Guildgate||Land-- Gate|||Gruul Guildgate enters the battlefield tapped.<br>{T}: Add {R} or {G}.|Ravnica Allegiance|Common|Alexander Forssberg|249|Gruul Guildgate enters the battlefield tapped.<br>{T}: Add {R} or {G}.|
457396|Orzhov Guildgate||Land-- Gate|||Orzhov Guildgate enters the battlefield tapped.<br>{T}: Add {W} or {B}.|Ravnica Allegiance|Common|Cliff Childs|252|Orzhov Guildgate enters the battlefield tapped.<br>{T}: Add {W} or {B}.|
457399|Rakdos Guildgate||Land-- Gate|||Rakdos Guildgate enters the battlefield tapped.<br>{T}: Add {B} or {R}.|Ravnica Allegiance|Common|Jonas De Ro|255|Rakdos Guildgate enters the battlefield tapped.<br>{T}: Add {B} or {R}.|
457401|Simic Guildgate||Land-- Gate|||Simic Guildgate enters the battlefield tapped.<br>{T}: Add {G} or {U}.|Ravnica Allegiance|Common|Adam Paquette|257|Simic Guildgate enters the battlefield tapped.<br>{T}: Add {G} or {U}.|
457295|Absorb|{W}{U}{U}|Instant|||Counter target spell. You gain 3 life.|Ravnica Allegiance|Rare|Izzy|151|Counter target spell. You gain 3 life.|
457235|Act of Treason|{2}{R}|Sorcery|||Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.|Ravnica Allegiance|Common|Scott Murphy|91|Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.|
457296|Aeromunculus|{1}{G}{U}|Creature - Homunculus Mutant|2|3|Flying<br>{2}{G}{U}: Adapt 1. <i>(If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)</i>|Ravnica Allegiance|Common|Simon Dominic|152|Flying<br>{2}{G}{U}: Adapt 1. <i>(If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)</i>|
457236|Amplifire|{2}{R}{R}|Creature - Elemental|1|1|At the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, Amplifire's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order.|Ravnica Allegiance|Rare|Dan Scott|92|At the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, Amplifire's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order.|
457145|Angel of Grace|{3}{W}{W}|Creature - Angel|5|4|Flash<br>Flying<br>When Angel of Grace enters the battlefield, until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.<br>{4}{W}{W}, Exile Angel of Grace from your graveyard: Your life total becomes 10.|Ravnica Allegiance|Mythic Rare|Ryan Yee|1|Flash<br>Flying<br>When Angel of Grace enters the battlefield, until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.<br>{4}{W}{W}, Exile Angel of Grace from your graveyard: Your life total becomes 10.|
457146|Angelic Exaltation|{3}{W}|Enchantment|||Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control.|Ravnica Allegiance|Uncommon|John Severin Brassell|2|Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control.|
457297|Applied Biomancy|{G}{U}|Instant|||Choose one or both-<br>• Target creature gets +1/+1 until end of turn.<br>• Return target creature to its owner's hand.|Ravnica Allegiance|Common|Sidharth Chaturvedi|153|Choose one or both-<br>• Target creature gets +1/+1 until end of turn.<br>• Return target creature to its owner's hand.|
457147|Archway Angel|{5}{W}|Creature - Angel|3|4|Flying<br>When Archway Angel enters the battlefield, you gain 2 life for each Gate you control.|Ravnica Allegiance|Uncommon|Milivoj Ćeran|3|Flying<br>When Archway Angel enters the battlefield, you gain 2 life for each Gate you control.|
457175|Arrester's Admonition|{2}{U}|Instant|||Return target creature to its owner's hand.<br>Addendum- If you cast this spell during your main phase, draw a card.|Ravnica Allegiance|Common|Lucas Graciano|31|Return target creature to its owner's hand.<br>Addendum- If you cast this spell during your main phase, draw a card.|
457148|Arrester's Zeal|{W}|Instant|||Target creature gets +2/+2 until end of turn.<br>Addendum- If you cast this spell during your main phase, that creature gains flying until end of turn.|Ravnica Allegiance|Common|Izzy|4|Target creature gets +2/+2 until end of turn.<br>Addendum- If you cast this spell during your main phase, that creature gains flying until end of turn.|
457205|Awaken the Erstwhile|{3}{B}{B}|Sorcery|||Each player discards all the cards in their hand, then creates that many 2/2 black Zombie creature tokens.|Ravnica Allegiance|Rare|Jason A. Engle|61|Each player discards all the cards in their hand, then creates that many 2/2 black Zombie creature tokens.|
457265|Axebane Beast|{3}{G}|Creature - Beast|3|4||Ravnica Allegiance|Common|Sam Rowan|121||
457298|Azorius Knight-Arbiter|{3}{W}{U}|Creature - Human Knight|2|5|Vigilance<br>Azorius Knight-Arbiter can't be blocked.|Ravnica Allegiance|Common|Even Amundsen|154|Vigilance<br>Azorius Knight-Arbiter can't be blocked.|
457375|Azorius Locket|{3}|Artifact|||{T}: Add {W} or {U}.<br>{W/U}{W/U}{W/U}{W/U}, {T}, Sacrifice Azorius Locket: Draw two cards.|Ravnica Allegiance|Common|Craig J Spearing|231|{T}: Add {W} or {U}.<br>{W/U}{W/U}{W/U}{W/U}, {T}, Sacrifice Azorius Locket: Draw two cards.|
457299|Azorius Skyguard|{4}{W}{U}|Creature - Human Knight|3|3|Flying, first strike<br>Creatures your opponents control get -1/-0.|Ravnica Allegiance|Uncommon|Gabor Szikszai|155|Flying, first strike<br>Creatures your opponents control get -1/-0.|
457206|Bankrupt in Blood|{1}{B}|Sorcery|||As an additional cost to cast this spell, sacrifice two creatures.<br>Draw three cards.|Ravnica Allegiance|Uncommon|Seb McKinnon|62|As an additional cost to cast this spell, sacrifice two creatures.<br>Draw three cards.|
457300|Basilica Bell-Haunt|{W}{W}{B}{B}|Creature - Spirit|3|4|When Basilica Bell-Haunt enters the battlefield, each opponent discards a card and you gain 3 life.|Ravnica Allegiance|Uncommon|Yeong-Hao Han|156|When Basilica Bell-Haunt enters the battlefield, each opponent discards a card and you gain 3 life.|
457365|Bedeck // Bedazzle (Bedazzle)|{4}{B}{R}|Instant|||Destroy target nonbasic land. Bedazzle deals 2 damage to target opponent or planeswalker.|Ravnica Allegiance|Rare|Randy Vargas|221|Destroy target nonbasic land. Bedazzle deals 2 damage to target opponent or planeswalker.|
457301|Bedevil|{B}{B}{R}|Instant|||Destroy target artifact, creature, or planeswalker.|Ravnica Allegiance|Rare|Seb McKinnon|157|Destroy target artifact, creature, or planeswalker.|
