ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
198305|Affa Guard Hound|{2}{W}|Creature - Hound|2|2|Flash<br>When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.|Rise of the Eldrazi|Uncommon|Ryan Pancoast|14|Flash<br>When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.|
193506|Akoum Boulderfoot|{4}{R}{R}|Creature - Giant Warrior|4|5|When Akoum Boulderfoot enters the battlefield, it deals 1 damage to target creature or player.|Rise of the Eldrazi|Uncommon|Alex Horley-Orlandelli|134|When Akoum Boulderfoot enters the battlefield, it deals 1 damage to target creature or player.|
193658|All Is Dust|{7}|Tribal Sorcery - Eldrazi|||Each player sacrifices all colored permanents he or she controls.|Rise of the Eldrazi|Mythic Rare|Jason Felix|1|Each player sacrifices all colored permanents he or she controls.|
193437|Ancient Stirrings|{G}|Sorcery|||Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order. <i>(Cards with no colored mana in their mana costs are colorless. Lands are also colorless.)</i>|Rise of the Eldrazi|Common|Vincent Proce|174|Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order. <i>(Cards with no colored mana in their mana costs are colorless. Lands are also colorless.)</i>|
193436|Angelheart Vial|{5}|Artifact|||Whenever you're dealt damage, you may put that many charge counters on Angelheart Vial.<br>{2}, {T}, Remove four charge counters from Angelheart Vial: You gain 2 life and draw a card.|Rise of the Eldrazi|Rare|Chippy|215|Whenever you're dealt damage, you may put that many charge counters on Angelheart Vial.<br>{2}, {T}, Remove four charge counters from Angelheart Vial: You gain 2 life and draw a card.|
193511|Arrogant Bloodlord|{1}{B}{B}|Creature - Vampire Knight|4|4|Whenever Arrogant Bloodlord blocks or becomes blocked by a creature with power 1 or less, destroy Arrogant Bloodlord at end of combat.|Rise of the Eldrazi|Uncommon|Mike Bierek|94|Whenever Arrogant Bloodlord blocks or becomes blocked by a creature with power 1 or less, destroy Arrogant Bloodlord at end of combat.|
193429|Artisan of Kozilek|{9}|Creature - Eldrazi|10|9|When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|Rise of the Eldrazi|Uncommon|Jason Felix|2|When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|
193599|Aura Finesse|{U}|Instant|||Attach target Aura you control to target creature.<br>Draw a card.|Rise of the Eldrazi|Common|Howard Lyon|54|Attach target Aura you control to target creature.<br>Draw a card.|
193478|Aura Gnarlid|{2}{G}|Creature - Beast|2|2|Creatures with power less than Aura Gnarlid's power can't block it.<br>Aura Gnarlid gets +1/+1 for each Aura on the battlefield.|Rise of the Eldrazi|Common|Lars Grant-West|175|Creatures with power less than Aura Gnarlid's power can't block it.<br>Aura Gnarlid gets +1/+1 for each Aura on the battlefield.|
193507|Awakening Zone|{2}{G}|Enchantment|||At the beginning of your upkeep, you may put a 0/1 colorless Eldrazi Spawn creature token onto the battlefield. It has "Sacrifice this creature: Add {1} to your mana pool."|Rise of the Eldrazi|Rare|Johann Bodin|176|At the beginning of your upkeep, you may put a 0/1 colorless Eldrazi Spawn creature token onto the battlefield. It has "Sacrifice this creature: Add {1} to your mana pool."|
194944|Bala Ged Scorpion|{3}{B}|Creature - Scorpion|2|3|When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.|Rise of the Eldrazi|Common|Daarken|95|When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.|
198302|Baneful Omen|{4}{B}{B}{B}|Enchantment|||At the beginning of your end step, you may reveal the top card of your library. If you do, each opponent loses life equal to that card's converted mana cost.|Rise of the Eldrazi|Rare|Karl Kopinski|96|At the beginning of your end step, you may reveal the top card of your library. If you do, each opponent loses life equal to that card's converted mana cost.|
193554|Battle Rampart|{2}{R}|Creature - Wall|1|3|Defender<br>{T}: Target creature gains haste until end of turn.|Rise of the Eldrazi|Common|Steve Prescott|135|Defender<br>{T}: Target creature gains haste until end of turn.|
193523|Battle-Rattle Shaman|{3}{R}|Creature - Goblin Shaman|2|2|At the beginning of combat on your turn, you may have target creature get +2/+0 until end of turn.|Rise of the Eldrazi|Common|Warren Mahy|136|At the beginning of combat on your turn, you may have target creature get +2/+0 until end of turn.|
198304|Bear Umbra|{2}{G}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 and has "Whenever this creature attacks, untap all lands you control."<br>Totem armor <i>(If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)</i>|Rise of the Eldrazi|Rare|Howard Lyon|177|Enchant creature<br>Enchanted creature gets +2/+2 and has "Whenever this creature attacks, untap all lands you control."<br>Totem armor <i>(If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)</i>|
193638|Beastbreaker of Bala Ged|{1}{G}|Creature - Human Warrior|2|2|Level up {2}{G} <i>({2}{G}: Put a level counter on this. Level up only as a sorcery.)</i><br>LEVEL 1-3<br>4/4<br><br>LEVEL 4+<br>6/6<br>Trample|Rise of the Eldrazi|Uncommon|Karl Kopinski|178|Level up {2}{G} <i>({2}{G}: Put a level counter on this. Level up only as a sorcery.)</i><br>LEVEL 1-3<br>4/4<br><br>LEVEL 4+<br>6/6<br>Trample|
193538|Bloodrite Invoker|{2}{B}|Creature - Vampire Shaman|3|1|{8}: Target player loses 3 life and you gain 3 life.|Rise of the Eldrazi|Common|Svetlin Velinov|97|{8}: Target player loses 3 life and you gain 3 life.|
