ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
253561|Abrupt Decay|{B}{G}|Instant|||Abrupt Decay can't be countered by spells or abilities.<br>Destroy target nonland permanent with converted mana cost 3 or less.|Return to Ravnica|Rare|Svetlin Velinov|141|Abrupt Decay can't be countered by spells or abilities.<br>Destroy target nonland permanent with converted mana cost 3 or less.|
289227|Aerial Predation|{2}{G}|Instant|||Destroy target creature with flying. You gain 2 life.|Return to Ravnica|Common|BD|113|Destroy target creature with flying. You gain 2 life.|
253627|Angel of Serenity|{4}{W}{W}{W}|Creature - Angel|5|6|Flying<br>When Angel of Serenity enters the battlefield, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards.<br>When Angel of Serenity leaves the battlefield, return the exiled cards to their owners' hands.|Return to Ravnica|Mythic Rare|Aleksi Briclot|1|Flying<br>When Angel of Serenity enters the battlefield, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards.<br>When Angel of Serenity leaves the battlefield, return the exiled cards to their owners' hands.|
270801|Annihilating Fire|{1}{R}{R}|Instant|||Annihilating Fire deals 3 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.|Return to Ravnica|Common|Clint Cearley|85|Annihilating Fire deals 3 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.|
270361|Aquus Steed|{3}{U}|Creature - Beast|1|3|{2}{U}, {T}: Target creature gets -2/-0 until end of turn.|Return to Ravnica|Uncommon|Warren Mahy|29|{2}{U}, {T}: Target creature gets -2/-0 until end of turn.|
253603|Archon of the Triumvirate|{5}{W}{U}|Creature - Archon|4|5|Flying<br>Whenever Archon of the Triumvirate attacks, detain up to two target nonland permanents your opponents control. <i>(Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)</i>|Return to Ravnica|Rare|David Rapoza|142|Flying<br>Whenever Archon of the Triumvirate attacks, detain up to two target nonland permanents your opponents control. <i>(Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)</i>|
253601|Archweaver|{5}{G}{G}|Creature - Spider|5|5|Reach, trample|Return to Ravnica|Uncommon|Jason Felix|114|Reach, trample|
253587|Armada Wurm|{2}{G}{G}{W}{W}|Creature - Wurm|5|5|Trample<br>When Armada Wurm enters the battlefield, put a 5/5 green Wurm creature token with trample onto the battlefield.|Return to Ravnica|Mythic Rare|Volkan Baga|143|Trample<br>When Armada Wurm enters the battlefield, put a 5/5 green Wurm creature token with trample onto the battlefield.|
253570|Armory Guard|{3}{W}|Creature - Giant Soldier|2|5|Armory Guard has vigilance as long as you control a Gate.|Return to Ravnica|Common|Karl Kopinski|2|Armory Guard has vigilance as long as you control a Gate.|
253573|Arrest|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.|Return to Ravnica|Uncommon|Greg Staples|3|Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.|
253623|Ash Zealot|{R}{R}|Creature - Human Warrior|2|2|First strike, haste<br>Whenever a player casts a spell from a graveyard, Ash Zealot deals 3 damage to that player.|Return to Ravnica|Rare|Eric Deschamps|86|First strike, haste<br>Whenever a player casts a spell from a graveyard, Ash Zealot deals 3 damage to that player.|
289216|Assassin's Strike|{4}{B}{B}|Sorcery|||Destroy target creature. Its controller discards a card.|Return to Ravnica|Uncommon|Chase Stone|57|Destroy target creature. Its controller discards a card.|
253579|Auger Spree|{1}{B}{R}|Instant|||Target creature gets +4/-4 until end of turn.|Return to Ravnica|Common|Raymond Swanland|144|Target creature gets +4/-4 until end of turn.|
265410|Avenging Arrow|{2}{W}|Instant|||Destroy target creature that dealt damage this turn.|Return to Ravnica|Common|James Ryman|4|Destroy target creature that dealt damage this turn.|
253556|Axebane Guardian|{2}{G}|Creature - Human Druid|0|3|Defender<br>{T}: Add X mana in any combination of colors to your mana pool, where X is the number of creatures with defender you control.|Return to Ravnica|Common|Slawomir Maniak|115|Defender<br>{T}: Add X mana in any combination of colors to your mana pool, where X is the number of creatures with defender you control.|
265383|Axebane Stag|{6}{G}|Creature - Elk|6|7||Return to Ravnica|Common|Martina Pilcerova|116||
270972|Azorius Arrester|{1}{W}|Creature - Human Soldier|2|1|When Azorius Arrester enters the battlefield, detain target creature an opponent controls. <i>(Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)</i>|Return to Ravnica|Common|Wayne Reynolds|5|When Azorius Arrester enters the battlefield, detain target creature an opponent controls. <i>(Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)</i>|
270962|Azorius Charm|{W}{U}|Instant|||Choose one- Creatures you control gain lifelink until end of turn; or draw a card; or put target attacking or blocking creature on top of its owner's library.|Return to Ravnica|Uncommon|Zoltan Boros|145|Choose one- Creatures you control gain lifelink until end of turn; or draw a card; or put target attacking or blocking creature on top of its owner's library.|
270966|Azorius Guildgate||Land - Gate|||Azorius Guildgate enters the battlefield tapped.<br>{T}: Add {W} or {U} to your mana pool.|Return to Ravnica|Common|Drew Baker|237|Azorius Guildgate enters the battlefield tapped.<br>{T}: Add {W} or {U} to your mana pool.|
270795|Azorius Justiciar|{2}{W}{W}|Creature - Human Wizard|2|2|When Azorius Justiciar enters the battlefield, detain up to two target creatures your opponents control. <i>(Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)</i>|Return to Ravnica|Uncommon|Chris Rahn|6|When Azorius Justiciar enters the battlefield, detain up to two target creatures your opponents control. <i>(Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)</i>|
253519|Azorius Keyrune|{3}|Artifact|||{T}: Add {W} or {U} to your mana pool.<br>{W}{U}: Azorius Keyrune becomes a 2/2 white and blue Bird artifact creature with flying until end of turn.|Return to Ravnica|Uncommon|Daniel Ljunggren|225|{T}: Add {W} or {U} to your mana pool.<br>{W}{U}: Azorius Keyrune becomes a 2/2 white and blue Bird artifact creature with flying until end of turn.|
265418|Azor's Elocutors|{3}{W/U}{W/U}|Creature - Human Advisor|3|5|At the beginning of your upkeep, put a filibuster counter on Azor's Elocutors. Then if Azor's Elocutors has five or more filibuster counters on it, you win the game.<br>Whenever a source deals damage to you, remove a filibuster counter from Azor's Elocutors.|Return to Ravnica|Rare|Johannes Voss|210|At the beginning of your upkeep, put a filibuster counter on Azor's Elocutors. Then if Azor's Elocutors has five or more filibuster counters on it, you win the game.<br>Whenever a source deals damage to you, remove a filibuster counter from Azor's Elocutors.|
265399|Batterhorn|{4}{R}|Creature - Beast|4|3|When Batterhorn enters the battlefield, you may destroy target artifact.|Return to Ravnica|Common|Dave Kendall|87|When Batterhorn enters the battlefield, you may destroy target artifact.|
253589|Bazaar Krovod|{4}{W}|Creature - Beast|2|5|Whenever Bazaar Krovod attacks, another target attacking creature gets +0/+2 until end of turn. Untap that creature.|Return to Ravnica|Uncommon|Lars Grant-West|7|Whenever Bazaar Krovod attacks, another target attacking creature gets +0/+2 until end of turn. Untap that creature.|
289214|Bellows Lizard|{R}|Creature - Lizard|1|1|{1}{R}: Bellows Lizard gets +1/+0 until end of turn.|Return to Ravnica|Common|Jack Wang|88|{1}{R}: Bellows Lizard gets +1/+0 until end of turn.|
289222|Blistercoil Weird|{U/R}|Creature - Weird|1|1|Whenever you cast an instant or sorcery spell, Blistercoil Weird gets +1/+1 until end of turn. Untap it.|Return to Ravnica|Uncommon|Dan Scott|211|Whenever you cast an instant or sorcery spell, Blistercoil Weird gets +1/+1 until end of turn. Untap it.|
253683|Blood Crypt||Land - Swamp Mountain|||<i>({T}: Add {B} or {R} to your mana pool.)</i><br>As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped.|Return to Ravnica|Rare|Vincent Proce|238|<i>({T}: Add {B} or {R} to your mana pool.)</i><br>As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped.|
270785|Bloodfray Giant|{2}{R}{R}|Creature - Giant|4|3|Trample<br>Unleash <i>(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)</i>|Return to Ravnica|Uncommon|Steve Argyle|89|Trample<br>Unleash <i>(You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)</i>|
