ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
20180|Thunder Dragon|{5}{R}{R}|Creature - Dragon|5|5|Flying<br>When Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.|Starter 1999|Rare|Dana Knutson|119|Flying<br>When Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.|
20183|Dakmor Sorceress|{5}{B}|Creature - Human Wizard|*|4|Dakmor Sorceress's power is equal to the number of Swamps you control.|Starter 1999|Rare|Matthew Wilson|74|Dakmor Sorceress's power is equal to the number of Swamps you control.|
20184|Champion Lancer|{4}{W}{W}|Creature - Human Knight|3|3|Prevent all damage that would be dealt to Champion Lancer by creatures.|Starter 1999|Rare|Chippy|11|Prevent all damage that would be dealt to Champion Lancer by creatures.|
20191|Devastation|{5}{R}{R}|Sorcery|||Destroy all creatures and lands.|Starter 1999|Rare|Steve Luke|94|Destroy all creatures and lands.|
20192|Fire Tempest|{5}{R}{R}|Sorcery|||Fire Tempest deals 6 damage to each creature and each player.|Starter 1999|Rare|Mike Dringenberg|97|Fire Tempest deals 6 damage to each creature and each player.|
20194|Last Chance|{R}{R}|Sorcery|||Take an extra turn after this one. At the beginning of that turn's end step, you lose the game.|Starter 1999|Rare|Hannibal King|110|Take an extra turn after this one. At the beginning of that turn's end step, you lose the game.|
20196|Goblin Commando|{4}{R}|Creature - Goblin|2|2|When Goblin Commando enters the battlefield, it deals 2 damage to target creature.|Starter 1999|Uncommon|Todd Lockwood|100|When Goblin Commando enters the battlefield, it deals 2 damage to target creature.|
20201|Cinder Storm|{6}{R}|Sorcery|||Cinder Storm deals 7 damage to target creature or player.|Starter 1999|Uncommon|Mark Tedin|93|Cinder Storm deals 7 damage to target creature or player.|
20203|Jagged Lightning|{3}{R}{R}|Sorcery|||Jagged Lightning deals 3 damage to each of two target creatures.|Starter 1999|Uncommon|Michael Weaver|109|Jagged Lightning deals 3 damage to each of two target creatures.|
20209|Scorching Spear|{R}|Sorcery|||Scorching Spear deals 1 damage to target creature or player.|Starter 1999|Common|Mike Raabe|116|Scorching Spear deals 1 damage to target creature or player.|
20212|Hulking Goblin|{1}{R}|Creature - Goblin|2|2|Hulking Goblin can't block.|Starter 1999|Common|Pete Venters|107|Hulking Goblin can't block.|
20214|Goblin Cavaliers|{2}{R}|Creature - Goblin|3|2||Starter 1999|Common|DiTerlizzi|98||
20216|Goblin Settler|{3}{R}|Creature - Goblin|1|1|When Goblin Settler enters the battlefield, destroy target land.|Starter 1999|Uncommon|Carl Critchlow|106|When Goblin Settler enters the battlefield, destroy target land.|
20219|Whirlwind|{2}{G}{G}|Sorcery|||Destroy all creatures with flying.|Starter 1999|Rare|John Matson|150|Destroy all creatures with flying.|
20222|Nature's Cloak|{2}{G}|Sorcery|||Green creatures you control gain forestwalk until end of turn.|Starter 1999|Rare|Rebecca Guay|135|Green creatures you control gain forestwalk until end of turn.|
20230|Whiptail Wurm|{6}{G}|Creature - Wurm|8|5||Starter 1999|Uncommon|Una Fricker|149||
20359|Grim Tutor|{1}{B}{B}|Sorcery|||Search your library for a card and put that card into your hand, then shuffle your library. You lose 3 life.|Starter 1999|Rare|Mark Tedin|79|Search your library for a card and put that card into your hand, then shuffle your library. You lose 3 life.|
20361|Wicked Pact|{1}{B}{B}|Sorcery|||Destroy two target nonblack creatures. You lose 5 life.|Starter 1999|Rare|Adam Rex|92|Destroy two target nonblack creatures. You lose 5 life.|
20362|Dread Reaper|{3}{B}{B}{B}|Creature - Horror|6|5|Flying<br>When Dread Reaper enters the battlefield, you lose 5 life.|Starter 1999|Rare|Christopher Rush|76|Flying<br>When Dread Reaper enters the battlefield, you lose 5 life.|
20363|Shrieking Specter|{5}{B}|Creature - Specter|2|2|Flying<br>Whenever Shrieking Specter attacks, defending player discards a card.|Starter 1999|Uncommon|rk post|89|Flying<br>Whenever Shrieking Specter attacks, defending player discards a card.|
20364|Stream of Acid|{2}{B}{B}|Sorcery|||Destroy target land or nonblack creature.|Starter 1999|Uncommon|DiTerlizzi|91|Destroy target land or nonblack creature.|
20367|Dakmor Plague|{3}{B}{B}|Sorcery|||Dakmor Plague deals 3 damage to each creature and each player.|Starter 1999|Uncommon|Jeff Miracola|72|Dakmor Plague deals 3 damage to each creature and each player.|
20369|Howling Fury|{2}{B}|Sorcery|||Target creature gets +4/+0 until end of turn.|Starter 1999|Uncommon|Mike Dringenberg|82|Target creature gets +4/+0 until end of turn.|
20379|Hand of Death|{2}{B}|Sorcery|||Destroy target nonblack creature.|Starter 1999|Common|Heather Hudson|80|Destroy target nonblack creature.|
20380|Dakmor Ghoul|{2}{B}{B}|Creature - Zombie|2|2|When Dakmor Ghoul enters the battlefield, target opponent loses 2 life and you gain 2 life.|Starter 1999|Uncommon|Dana Knutson|70|When Dakmor Ghoul enters the battlefield, target opponent loses 2 life and you gain 2 life.|
20384|Bog Raiders|{2}{B}|Creature - Zombie|2|2|Swampwalk <i>(This creature is unblockable as long as defending player controls a Swamp.)</i>|Starter 1999|Common|Carl Critchlow|66|Swampwalk <i>(This creature is unblockable as long as defending player controls a Swamp.)</i>|
20391|Angel of Light|{4}{W}|Creature - Angel|3|3|Flying, vigilance|Starter 1999|Uncommon|Todd Lockwood|1|Flying, vigilance|
20394|Royal Trooper|{2}{W}|Creature - Human Soldier|2|2|Whenever Royal Trooper blocks, it gets +2/+2 until end of turn.|Starter 1999|Uncommon|Scott M. Fischer|25|Whenever Royal Trooper blocks, it gets +2/+2 until end of turn.|
20395|Devout Monk|{W}|Creature - Human Monk Cleric|1|1|When Devout Monk enters the battlefield, you gain 1 life.|Starter 1999|Common|Daniel Gelon|14|When Devout Monk enters the battlefield, you gain 1 life.|
20396|Border Guard|{2}{W}|Creature - Human Soldier|1|4||Starter 1999|Common|Kev Walker|9||
20399|Steadfastness|{1}{W}|Sorcery|||Creatures you control get +0/+3 until end of turn.|Starter 1999|Common|Kev Walker|27|Creatures you control get +0/+3 until end of turn.|
21049|Piracy|{U}{U}|Sorcery|||Until end of turn, you may tap lands you don't control for mana. Spend this mana only to cast spells.|Starter 1999|Rare|Bradley Williams|45|Until end of turn, you may tap lands you don't control for mana. Spend this mana only to cast spells.|
21051|Willow Elf|{G}|Creature - Elf|1|1||Starter 1999|Common|DiTerlizzi|152||
