ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
22011|Rock Jockey|{2}{R}|Creature - Goblin|3|3|You can't cast Rock Jockey if you've played a land this turn.<br>You can't play lands if you've cast Rock Jockey this turn.|Scourge|Common|Glen Angus|101|You can't cast Rock Jockey if you've played a land this turn.<br>You can't play lands if you've cast Rock Jockey this turn.|
35344|Dispersal Shield|{1}{U}|Instant|||Counter target spell if its converted mana cost is less than or equal to the highest converted mana cost among permanents you control.|Scourge|Common|Dave Dorman|33|Counter target spell if its converted mana cost is less than or equal to the highest converted mana cost among permanents you control.|
35409|Alpha Status|{2}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 for each other creature on the battlefield that shares a creature type with it.|Scourge|Uncommon|Darrell Riche|110|Enchant creature<br>Enchanted creature gets +2/+2 for each other creature on the battlefield that shares a creature type with it.|
39714|Dragonstalker|{4}{W}|Creature - Bird Soldier|3|3|Flying, protection from Dragons|Scourge|Uncommon|Ron Spencer|11|Flying, protection from Dragons|
39750|Cabal Interrogator|{1}{B}|Creature - Zombie Wizard|1|1|{X}{B}, {T}: Target player reveals X cards from his or her hand and you choose one of them. That player discards that card. Activate this ability only any time you could cast a sorcery.|Scourge|Uncommon|Tony Szczudlo|57|{X}{B}, {T}: Target player reveals X cards from his or her hand and you choose one of them. That player discards that card. Activate this ability only any time you could cast a sorcery.|
40648|Exiled Doomsayer|{1}{W}|Creature - Human Cleric|1|2|All morph costs cost {2} more. <i>(This doesn't affect the cost to cast creature spells face down.)</i>|Scourge|Rare|Brian Snoddy|13|All morph costs cost {2} more. <i>(This doesn't affect the cost to cast creature spells face down.)</i>|
41164|Unburden|{1}{B}{B}|Sorcery|||Target player discards two cards.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Scourge|Common|Wayne England|77|Target player discards two cards.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
42024|Bladewing the Risen|{3}{B}{B}{R}{R}|Legendary Creature - Zombie Dragon|4|4|Flying<br>When Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.<br>{B}{R}: Dragon creatures get +1/+1 until end of turn.|Scourge|Rare|Kev Walker|136|Flying<br>When Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.<br>{B}{R}: Dragon creatures get +1/+1 until end of turn.|
43493|Frontline Strategist|{W}|Creature - Human Soldier|1|1|Morph {W} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Frontline Strategist is turned face up, prevent all combat damage non-Soldier creatures would deal this turn.|Scourge|Common|Christopher Moeller|15|Morph {W} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Frontline Strategist is turned face up, prevent all combat damage non-Soldier creatures would deal this turn.|
43501|Treetop Scout|{G}|Creature - Elf Scout|1|1|Treetop Scout can't be blocked except by creatures with flying.|Scourge|Common|Alan Pollack|130|Treetop Scout can't be blocked except by creatures with flying.|
43512|Carrion Feeder|{B}|Creature - Zombie|1|1|Carrion Feeder can't block.<br>Sacrifice a creature: Put a +1/+1 counter on Carrion Feeder.|Scourge|Common|Brian Snoddy|59|Carrion Feeder can't block.<br>Sacrifice a creature: Put a +1/+1 counter on Carrion Feeder.|
43513|Edgewalker|{1}{W}{B}|Creature - Human Cleric|2|2|Cleric spells you cast cost {W}{B} less to cast. This effect reduces only the amount of colored mana you pay. <i>(For example, if you cast a Cleric spell with mana cost {1}{W}, it costs {1} to cast.)</i>|Scourge|Uncommon|Ben Thompson|137|Cleric spells you cast cost {W}{B} less to cast. This effect reduces only the amount of colored mana you pay. <i>(For example, if you cast a Cleric spell with mana cost {1}{W}, it costs {1} to cast.)</i>|
43515|Zombie Cutthroat|{3}{B}{B}|Creature - Zombie|3|4|Morph—Pay 5 life. <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Scourge|Common|Thomas M. Baxa|81|Morph—Pay 5 life. <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
43522|Decree of Pain|{6}{B}{B}|Sorcery|||Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.<br>Cycling {3}{B}{B} <i>({3}{B}{B}, Discard this card: Draw a card.)</i><br>When you cycle Decree of Pain, all creatures get -2/-2 until end of turn.|Scourge|Rare|Carl Critchlow|64|Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.<br>Cycling {3}{B}{B} <i>({3}{B}{B}, Discard this card: Draw a card.)</i><br>When you cycle Decree of Pain, all creatures get -2/-2 until end of turn.|
43530|Torrent of Fire|{3}{R}{R}|Sorcery|||Torrent of Fire deals damage equal to the highest converted mana cost among permanents you control to target creature or player.|Scourge|Common|Thomas M. Baxa|107|Torrent of Fire deals damage equal to the highest converted mana cost among permanents you control to target creature or player.|
