ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
50234|Burning-Eye Zubera|{2}{R}{R}|Creature - Zubera Spirit|3|3|When Burning-Eye Zubera dies, if 4 or more damage was dealt to it this turn, Burning-Eye Zubera deals 3 damage to target creature or player.|Saviors of Kamigawa|Uncommon|Anthony S. Waters|95|When Burning-Eye Zubera dies, if 4 or more damage was dealt to it this turn, Burning-Eye Zubera deals 3 damage to target creature or player.|
50430|Rushing-Tide Zubera|{2}{U}{U}|Creature - Zubera Spirit|3|3|When Rushing-Tide Zubera dies, if 4 or more damage was dealt to it this turn, draw three cards.|Saviors of Kamigawa|Uncommon|Mark Brill|52|When Rushing-Tide Zubera dies, if 4 or more damage was dealt to it this turn, draw three cards.|
73988|Dreamcatcher|{U}|Creature - Spirit|1|1|Whenever you cast a Spirit or Arcane spell, you may sacrifice Dreamcatcher. If you do, draw a card.|Saviors of Kamigawa|Common|Mark Tedin|34|Whenever you cast a Spirit or Arcane spell, you may sacrifice Dreamcatcher. If you do, draw a card.|
73991|Matsu-Tribe Birdstalker|{2}{G}{G}|Creature - Snake Warrior Archer|2|2|Whenever Matsu-Tribe Birdstalker deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.<br>{G}: Matsu-Tribe Birdstalker gains reach until end of turn. <i>(It can block creatures with flying.)</i>|Saviors of Kamigawa|Common|Heather Hudson|137|Whenever Matsu-Tribe Birdstalker deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.<br>{G}: Matsu-Tribe Birdstalker gains reach until end of turn. <i>(It can block creatures with flying.)</i>|
73996|Ghost-Lit Warder|{1}{U}|Creature - Spirit|1|1|{3}{U}, {T}: Counter target spell unless its controller pays {2}.<br>Channel- {3}{U}, Discard Ghost-Lit Warder: Counter target spell unless its controller pays {4}.|Saviors of Kamigawa|Uncommon|Kensuke Okabayashi|39|{3}{U}, {T}: Counter target spell unless its controller pays {2}.<br>Channel- {3}{U}, Discard Ghost-Lit Warder: Counter target spell unless its controller pays {4}.|
74002|Inner-Chamber Guard|{1}{W}|Creature - Human Samurai|0|2|Bushido 2 <i>(When this blocks or becomes blocked, it gets +2/+2 until end of turn.)</i>|Saviors of Kamigawa|Uncommon|Brian Snoddy|13|Bushido 2 <i>(When this blocks or becomes blocked, it gets +2/+2 until end of turn.)</i>|
74003|Deathknell Kami|{1}{B}|Creature - Spirit|0|1|Flying<br>{2}: Deathknell Kami gets +1/+1 until end of turn. Sacrifice it at the beginning of the next end step.<br>Soulshift 1 <i>(When this creature dies, you may return target Spirit card with converted mana cost 1 or less from your graveyard to your hand.)</i>|Saviors of Kamigawa|Common|Puddnhead|65|Flying<br>{2}: Deathknell Kami gets +1/+1 until end of turn. Sacrifice it at the beginning of the next end step.<br>Soulshift 1 <i>(When this creature dies, you may return target Spirit card with converted mana cost 1 or less from your graveyard to your hand.)</i>|
74015|Godo's Irregulars|{R}|Creature - Human Warrior|1|1|{R}: Godo's Irregulars deals 1 damage to target creature blocking it.|Saviors of Kamigawa|Uncommon|Tim Hildebrandt|101|{R}: Godo's Irregulars deals 1 damage to target creature blocking it.|
74016|Kagemaro, First to Suffer|{3}{B}{B}|Legendary Creature - Demon Spirit|*|*|Kagemaro, First to Suffer's power and toughness are each equal to the number of cards in your hand.<br>{B}, Sacrifice Kagemaro: All creatures get -X/-X until end of turn, where X is the number of cards in your hand.|Saviors of Kamigawa|Rare|Adam Rex|73|Kagemaro, First to Suffer's power and toughness are each equal to the number of cards in your hand.<br>{B}, Sacrifice Kagemaro: All creatures get -X/-X until end of turn, where X is the number of cards in your hand.|
74017|Shinen of Life's Roar|{1}{G}|Creature - Spirit|1|2|All creatures able to block Shinen of Life's Roar do so.<br>Channel- {2}{G}{G}, Discard Shinen of Life's Roar: All creatures able to block target creature this turn do so.|Saviors of Kamigawa|Common|Matt Cavotta|149|All creatures able to block Shinen of Life's Roar do so.<br>Channel- {2}{G}{G}, Discard Shinen of Life's Roar: All creatures able to block target creature this turn do so.|
74018|Promised Kannushi|{G}|Creature - Human Druid|1|1|Soulshift 7 <i>(When this creature dies, you may return target Spirit card with converted mana cost 7 or less from your graveyard to your hand.)</i>|Saviors of Kamigawa|Common|Matt Thompson|141|Soulshift 7 <i>(When this creature dies, you may return target Spirit card with converted mana cost 7 or less from your graveyard to your hand.)</i>|
74046|Kitsune Bonesetter|{2}{W}|Creature - Fox Cleric|0|1|{T}: Prevent the next 3 damage that would be dealt to target creature this turn. Activate this ability only if you have more cards in hand than each opponent.|Saviors of Kamigawa|Common|Heather Hudson|15|{T}: Prevent the next 3 damage that would be dealt to target creature this turn. Activate this ability only if you have more cards in hand than each opponent.|
74047|Jiwari, the Earth Aflame|{3}{R}{R}|Legendary Creature - Spirit|3|3|{X}{R}, {T}: Jiwari, the Earth Aflame deals X damage to target creature without flying.<br>Channel- {X}{R}{R}{R}, Discard Jiwari: Jiwari deals X damage to each creature without flying.|Saviors of Kamigawa|Rare|Adam Rex|107|{X}{R}, {T}: Jiwari, the Earth Aflame deals X damage to target creature without flying.<br>Channel- {X}{R}{R}{R}, Discard Jiwari: Jiwari deals X damage to each creature without flying.|
74048|Oni of Wild Places|{5}{R}|Creature - Demon Spirit|6|5|Haste<br>At the beginning of your upkeep, return a red creature you control to its owner's hand.|Saviors of Kamigawa|Uncommon|Mark Tedin|108|Haste<br>At the beginning of your upkeep, return a red creature you control to its owner's hand.|
74049|Inner Calm, Outer Strength|{2}{G}|Instant - Arcane|||Target creature gets +X/+X until end of turn, where X is the number of cards in your hand.|Saviors of Kamigawa|Common|Stephen Tappin|133|Target creature gets +X/+X until end of turn, where X is the number of cards in your hand.|
74050|Araba Mothrider|{1}{W}|Creature - Human Samurai|1|1|Flying<br>Bushido 1 <i>(When this blocks or becomes blocked, it gets +1/+1 until end of turn.)</i>|Saviors of Kamigawa|Common|Anthony S. Waters|2|Flying<br>Bushido 1 <i>(When this blocks or becomes blocked, it gets +1/+1 until end of turn.)</i>|
