ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
194371|Abuna Acolyte|{1}{W}|Creature - Cat Cleric|1|1|{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.<br>{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.|Scars of Mirrodin|Uncommon|Igor Kieryluk|1|{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.<br>{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.|
209046|Accorder's Shield|{0}|Artifact - Equipment|||Equipped creature gets +0/+3 and has vigilance.<br>Equip {3}|Scars of Mirrodin|Common|Alan Pollack|136|Equipped creature gets +0/+3 and has vigilance.<br>Equip {3}|
209290|Acid Web Spider|{3}{G}{G}|Creature - Spider|3|5|Reach<br>When Acid Web Spider enters the battlefield, you may destroy target Equipment.|Scars of Mirrodin|Uncommon|Austin Hsu|108|Reach<br>When Acid Web Spider enters the battlefield, you may destroy target Equipment.|
202651|Alpha Tyrranax|{4}{G}{G}|Creature - Beast|6|5||Scars of Mirrodin|Common|Dave Kendall|109||
206343|Arc Trail|{1}{R}|Sorcery|||Arc Trail deals 2 damage to target creature or player and 1 damage to another target creature or player.|Scars of Mirrodin|Uncommon|Marc Simonetti|81|Arc Trail deals 2 damage to target creature or player and 1 damage to another target creature or player.|
215085|Argent Sphinx|{2}{U}{U}|Creature - Sphinx|4|3|Flying<br>Metalcraft- {U}: Exile Argent Sphinx. Return it to the battlefield under your control at the beginning of the next end step. Activate this ability only if you control three or more artifacts.|Scars of Mirrodin|Rare|Chris Rahn|28|Flying<br>Metalcraft- {U}: Exile Argent Sphinx. Return it to the battlefield under your control at the beginning of the next end step. Activate this ability only if you control three or more artifacts.|
217967|Argentum Armor|{6}|Artifact - Equipment|||Equipped creature gets +6/+6.<br>Whenever equipped creature attacks, destroy target permanent.<br>Equip {6}|Scars of Mirrodin|Rare|Matt Cavotta|137|Equipped creature gets +6/+6.<br>Whenever equipped creature attacks, destroy target permanent.<br>Equip {6}|
209007|Arrest|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.|Scars of Mirrodin|Common|Daarken|2|Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.|
215082|Asceticism|{3}{G}{G}|Enchantment|||Creatures you control have hexproof. <i>(They can't be the targets of spells or abilities your opponents control.)</i><br>{1}{G}: Regenerate target creature.|Scars of Mirrodin|Rare|Daarken|110|Creatures you control have hexproof. <i>(They can't be the targets of spells or abilities your opponents control.)</i><br>{1}{G}: Regenerate target creature.|
194119|Assault Strobe|{R}|Sorcery|||Target creature gains double strike until end of turn. <i>(It deals both first-strike and regular combat damage.)</i>|Scars of Mirrodin|Common|Kev Walker|82|Target creature gains double strike until end of turn. <i>(It deals both first-strike and regular combat damage.)</i>|
208260|Auriok Edgewright|{W}{W}|Creature - Human Soldier|2|2|Metalcraft- Auriok Edgewright has double strike as long as you control three or more artifacts.|Scars of Mirrodin|Uncommon|Mike Bierek|3|Metalcraft- Auriok Edgewright has double strike as long as you control three or more artifacts.|
209051|Auriok Replica|{3}|Artifact Creature - Cleric|2|2|{W}, Sacrifice Auriok Replica: Prevent all damage a source of your choice would deal to you this turn.|Scars of Mirrodin|Common|Zoltan Boros & Gabor Szikszai|138|{W}, Sacrifice Auriok Replica: Prevent all damage a source of your choice would deal to you this turn.|
208249|Auriok Sunchaser|{1}{W}|Creature - Human Soldier|1|1|Metalcraft- As long as you control three or more artifacts, Auriok Sunchaser gets +2/+2 and has flying.|Scars of Mirrodin|Common|James Ryman|4|Metalcraft- As long as you control three or more artifacts, Auriok Sunchaser gets +2/+2 and has flying.|
208255|Barbed Battlegear|{3}|Artifact - Equipment|||Equipped creature gets +4/-1.<br>Equip {2}|Scars of Mirrodin|Uncommon|Steve Argyle|139|Equipped creature gets +4/-1.<br>Equip {2}|
194316|Barrage Ogre|{3}{R}{R}|Creature - Ogre Warrior|3|3|{T}, Sacrifice an artifact: Barrage Ogre deals 2 damage to target creature or player.|Scars of Mirrodin|Uncommon|David Rapoza|83|{T}, Sacrifice an artifact: Barrage Ogre deals 2 damage to target creature or player.|
209048|Bellowing Tanglewurm|{3}{G}{G}|Creature - Wurm|4|4|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br>Other green creatures you control have intimidate.|Scars of Mirrodin|Uncommon|jD|111|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br>Other green creatures you control have intimidate.|
209401|Blackcleave Cliffs||Land|||Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.<br>{T}: Add {B} or {R} to your mana pool.|Scars of Mirrodin|Rare|Dave Kendall|224|Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.<br>{T}: Add {B} or {R} to your mana pool.|
194297|Blackcleave Goblin|{3}{B}|Creature - Goblin Zombie|2|1|Haste<br>Infect <i>(This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)</i>|Scars of Mirrodin|Common|Nils Hamm|54|Haste<br>Infect <i>(This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)</i>|
206354|Bladed Pinions|{2}|Artifact - Equipment|||Equipped creature has flying and first strike.<br>Equip {2}|Scars of Mirrodin|Common|Steve Argyle|140|Equipped creature has flying and first strike.<br>Equip {2}|
