ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
4596|Altar Of Dementia (Altar of Dementia)|{2}|Artifact|||Sacrifice a creature: Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.|Tempest|Rare|0.0||4.457|Brom|1||Sacrifice a creature: Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.|0|
4599|Coiled Tinviper|{3}|Artifact Creature - Snake|2|1|First strike|Tempest|Common|0.0||1.804|John Matson|2||First strike|0|
4600|Cold Storage|{4}|Artifact|||{3}: Exile target creature you control.<br>Sacrifice Cold Storage: Return each creature card exiled with Cold Storage to the battlefield under your control.|Tempest|Rare|0.0||3.237|Greg Simanson|3||{3}: Exile target creature you control.<br>Sacrifice Cold Storage: Return each creature card exiled with Cold Storage to the battlefield under your control.|0|
4601|Cursed Scroll|{1}|Artifact|||{3}, {T}: Name a card. Reveal a card at random from your hand. If it's the named card, Cursed Scroll deals 2 damage to target creature or player.|Tempest|Rare|0.0||4.484|D. Alexander Gregory|4||{3}, {T}: Name a card. Reveal a card at random from your hand. If it's the named card, Cursed Scroll deals 2 damage to target creature or player.|0|
4602|Echo Chamber|{4}|Artifact|||{4}, {T}: An opponent chooses target creature he or she controls. Put a token that's a copy of that creature onto the battlefield. That token gains haste until end of turn. Exile the token at the beginning of the next end step. Activate this ability only any time you could cast a sorcery.|Tempest|Rare|0.0||2.789|Donato Giancola|5||{4}, {T}: An opponent chooses target creature he or she controls. Put a token that's a copy of that creature onto the battlefield. That token gains haste until end of turn. Exile the token at the beginning of the next end step. Activate this ability only any time you could cast a sorcery.|0|
4603|Emerald Medallion|{2}|Artifact|||Green spells you cast cost {1} less to cast.|Tempest|Rare|0.0||4.042|Sue Ellen Brown|6||Green spells you cast cost {1} less to cast.|0|
4604|Emmessi Tome|{4}|Artifact|||{5}, {T}: Draw two cards, then discard a card.|Tempest|Rare|0.0||1.25|Tom Wänerstrand|7||{5}, {T}: Draw two cards, then discard a card.|0|
4605|Energizer|{4}|Artifact Creature - Juggernaut|2|2|{2}, {T}: Put a +1/+1 counter on Energizer.|Tempest|Rare|0.0||2.205|Val Mayerik|8||{2}, {T}: Put a +1/+1 counter on Energizer.|0|
4606|Essence Bottle|{2}|Artifact|||{3}, {T}: Put an elixir counter on Essence Bottle.<br>{T}, Remove all elixir counters from Essence Bottle: You gain 2 life for each elixir counter removed this way.|Tempest|Uncommon|0.0||0.956|Donato Giancola|9||{3}, {T}: Put an elixir counter on Essence Bottle.<br>{T}, Remove all elixir counters from Essence Bottle: You gain 2 life for each elixir counter removed this way.|0|
4607|Excavator|{2}|Artifact|||{T}, Sacrifice a basic land: Target creature gains landwalk of each of the land types of the sacrificed land until end of turn.|Tempest|Uncommon|0.0||1.133|Tom Kyffin|10||{T}, Sacrifice a basic land: Target creature gains landwalk of each of the land types of the sacrificed land until end of turn.|0|
4608|Flowstone Sculpture|{6}|Artifact Creature - Shapeshifter|4|4|{2}, Discard a card: Put a +1/+1 counter on Flowstone Sculpture or Flowstone Sculpture gains flying, first strike, or trample. <i>(This effect lasts indefinitely.)</i>|Tempest|Rare|0.0||3.432|Hannibal King|11||{2}, Discard a card: Put a +1/+1 counter on Flowstone Sculpture or Flowstone Sculpture gains flying, first strike, or trample. <i>(This effect lasts indefinitely.)</i>|0|
4609|Fool's Tome|{4}|Artifact|||{2}, {T}: Draw a card. Activate this ability only if you have no cards in hand.|Tempest|Rare|0.0||2.167|Julie Baroh|12||{2}, {T}: Draw a card. Activate this ability only if you have no cards in hand.|0|
4610|Grindstone|{1}|Artifact|||{3}, {T}: Put the top two cards of target player's library into that player's graveyard. If both cards share a color, repeat this process.|Tempest|Rare|0.0||4.75|Greg Simanson|13||{3}, {T}: Put the top two cards of target player's library into that player's graveyard. If both cards share a color, repeat this process.|0|
4611|Helm of Possession|{4}|Artifact|||You may choose not to untap Helm of Possession during your untap step.<br>{2}, {T}, Sacrifice a creature: Gain control of target creature for as long as you control Helm of Possession and Helm of Possession remains tapped.|Tempest|Rare|0.0||3.896|Janet Aulisio|14||You may choose not to untap Helm of Possession during your untap step.<br>{2}, {T}, Sacrifice a creature: Gain control of target creature for as long as you control Helm of Possession and Helm of Possession remains tapped.|0|
4612|Jet Medallion|{2}|Artifact|||Black spells you cast cost {1} less to cast.|Tempest|Rare|0.0||4.706|Sue Ellen Brown|15||Black spells you cast cost {1} less to cast.|0|
4613|Jinxed Idol|{2}|Artifact|||At the beginning of your upkeep, Jinxed Idol deals 2 damage to you.<br>Sacrifice a creature: Target opponent gains control of Jinxed Idol.|Tempest|Rare|0.0||3.542|John Matson|16||At the beginning of your upkeep, Jinxed Idol deals 2 damage to you.<br>Sacrifice a creature: Target opponent gains control of Jinxed Idol.|0|
4614|Lotus Petal|{0}|Artifact|||{T}, Sacrifice Lotus Petal: Add one mana of any color to your mana pool.|Tempest|Common|0.0||4.812|April Lee|17||{T}, Sacrifice Lotus Petal: Add one mana of any color to your mana pool.|0|
4615|Magnetic Web|{2}|Artifact|||If a creature with a magnet counter on it attacks, all creatures with magnet counters on them attack if able.<br>Whenever a creature with a magnet counter on it attacks, all creatures with magnet counters on them block that creature this turn if able.<br>{1}, {T}: Put a magnet counter on target creature.|Tempest|Rare|0.0||2.625|Adam Rex|18||If a creature with a magnet counter on it attacks, all creatures with magnet counters on them attack if able.<br>Whenever a creature with a magnet counter on it attacks, all creatures with magnet counters on them block that creature this turn if able.<br>{1}, {T}: Put a magnet counter on target creature.|0|
4616|Manakin|{2}|Artifact Creature - Construct|1|1|{T}: Add {1} to your mana pool.|Tempest|Common|0.0||2.914|Scott Kirschner|19||{T}: Add {1} to your mana pool.|0|
4617|Metallic Sliver|{1}|Artifact Creature - Sliver|1|1||Tempest|Common|0.0||3.312|L. A. Williams|20|||0|
4618|Mogg Cannon|{2}|Artifact|||{T}: Target creature you control gets +1/+0 and gains flying until end of turn. Destroy that creature at the beginning of the next end step.|Tempest|Uncommon|0.0||2.82|Mike Raabe|21||{T}: Target creature you control gets +1/+0 and gains flying until end of turn. Destroy that creature at the beginning of the next end step.|0|
4620|Pearl Medallion|{2}|Artifact|||White spells you cast cost {1} less to cast.|Tempest|Rare|0.0||4.387|Sue Ellen Brown|22||White spells you cast cost {1} less to cast.|0|
4621|Phyrexian Grimoire|{3}|Artifact|||{4}, {T}: Target opponent chooses one of the top two cards of your graveyard. Exile that card and put the other one into your hand.|Tempest|Rare|0.0||2.433|Doug Chaffee|23||{4}, {T}: Target opponent chooses one of the top two cards of your graveyard. Exile that card and put the other one into your hand.|0|
