ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
373661|Abhorrent Overlord|{5}{B}{B}|Creature - Demon|6|6|Flying<br>When Abhorrent Overlord enters the battlefield, put a number of 1/1 black Harpy creature tokens with flying onto the battlefield equal to your devotion to black. <i>(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)</i><br>At the beginning of your upkeep, sacrifice a creature.|Theros|Rare|Slawomir Maniak|75|Flying<br>When Abhorrent Overlord enters the battlefield, put a number of 1/1 black Harpy creature tokens with flying onto the battlefield equal to your devotion to black. <i>(Each {B} in the mana costs of permanents you control counts toward your devotion to black.)</i><br>At the beginning of your upkeep, sacrifice a creature.|
373712|Agent of Horizons|{2}{G}|Creature - Human Rogue|3|2|{2}{U}: Agent of Horizons can't be blocked this turn.|Theros|Common|Clint Cearley|148|{2}{U}: Agent of Horizons can't be blocked this turn.|
373543|Agent of the Fates|{1}{B}{B}|Creature - Human Assassin|3|2|Deathtouch<br>Heroic- Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.|Theros|Rare|Matt Stewart|76|Deathtouch<br>Heroic- Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.|
373578|Akroan Crusader|{R}|Creature - Human Soldier|1|1|Heroic- Whenever you cast a spell that targets Akroan Crusader, put a 1/1 red Soldier creature token with haste onto the battlefield.|Theros|Common|Johann Bodin|111|Heroic- Whenever you cast a spell that targets Akroan Crusader, put a 1/1 red Soldier creature token with haste onto the battlefield.|
373590|Akroan Hoplite|{R}{W}|Creature - Human Soldier|1|2|Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.|Theros|Uncommon|Igor Kieryluk|185|Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.|
373550|Akroan Horse|{4}|Artifact Creature - Horse|0|4|Defender<br>When Akroan Horse enters the battlefield, an opponent gains control of it.<br>At the beginning of your upkeep, each opponent puts a 1/1 white Soldier creature token onto the battlefield.|Theros|Rare|Seb McKinnon|210|Defender<br>When Akroan Horse enters the battlefield, an opponent gains control of it.<br>At the beginning of your upkeep, each opponent puts a 1/1 white Soldier creature token onto the battlefield.|
373530|Anax and Cymede|{1}{R}{W}|Legendary Creature - Human Soldier|3|2|First strike, vigilance<br>Heroic- Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.|Theros|Rare|Willian Murai|186|First strike, vigilance<br>Heroic- Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.|
373604|Anger of the Gods|{1}{R}{R}|Sorcery|||Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.|Theros|Rare|Noah Bradley|112|Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.|
373584|Annul|{U}|Instant|||Counter target artifact or enchantment spell.|Theros|Common|Christine Choi|38|Counter target artifact or enchantment spell.|
373671|Anthousa, Setessan Hero|{3}{G}{G}|Legendary Creature - Human Warrior|4|5|Heroic- Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.|Theros|Rare|Howard Lyon|149|Heroic- Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.|
373677|Anvilwrought Raptor|{4}|Artifact Creature - Bird|2|1|Flying, first strike|Theros|Uncommon|James Zapata|211|Flying, first strike|
373715|Aqueous Form|{U}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't be blocked.<br>Whenever enchanted creature attacks, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>|Theros|Common|Slawomir Maniak|39|Enchant creature<br>Enchanted creature can't be blocked.<br>Whenever enchanted creature attacks, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>|
373740|Arbor Colossus|{2}{G}{G}{G}|Creature - Giant|6|6|Reach<br>{3}{G}{G}{G}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>When Arbor Colossus becomes monstrous, destroy target creature with flying an opponent controls.|Theros|Rare|Jaime Jones|150|Reach<br>{3}{G}{G}{G}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>When Arbor Colossus becomes monstrous, destroy target creature with flying an opponent controls.|
373585|Arena Athlete|{1}{R}|Creature - Human|2|1|Heroic- Whenever you cast a spell that targets Arena Athlete, target creature an opponent controls can't block this turn.|Theros|Uncommon|Jason Chan|113|Heroic- Whenever you cast a spell that targets Arena Athlete, target creature an opponent controls can't block this turn.|
373742|Artisan of Forms|{1}{U}|Creature - Human Wizard|1|1|Heroic- Whenever you cast a spell that targets Artisan of Forms, you may have Artisan of Forms become a copy of target creature and gain this ability.|Theros|Rare|Min Yum|40|Heroic- Whenever you cast a spell that targets Artisan of Forms, you may have Artisan of Forms become a copy of target creature and gain this ability.|
