ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
4596|Altar Of Dementia (Altar of Dementia)|{2}|Artifact|||Sacrifice a creature: Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.|Tempest|Rare|Brom|1|Sacrifice a creature: Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.|
4599|Coiled Tinviper|{3}|Artifact Creature - Snake|2|1|First strike|Tempest|Common|John Matson|2|First strike|
4600|Cold Storage|{4}|Artifact|||{3}: Exile target creature you control.<br>Sacrifice Cold Storage: Return each creature card exiled with Cold Storage to the battlefield under your control.|Tempest|Rare|Greg Simanson|3|{3}: Exile target creature you control.<br>Sacrifice Cold Storage: Return each creature card exiled with Cold Storage to the battlefield under your control.|
4601|Cursed Scroll|{1}|Artifact|||{3}, {T}: Name a card. Reveal a card at random from your hand. If it's the named card, Cursed Scroll deals 2 damage to target creature or player.|Tempest|Rare|D. Alexander Gregory|4|{3}, {T}: Name a card. Reveal a card at random from your hand. If it's the named card, Cursed Scroll deals 2 damage to target creature or player.|
4602|Echo Chamber|{4}|Artifact|||{4}, {T}: An opponent chooses target creature he or she controls. Put a token that's a copy of that creature onto the battlefield. That token gains haste until end of turn. Exile the token at the beginning of the next end step. Activate this ability only any time you could cast a sorcery.|Tempest|Rare|Donato Giancola|5|{4}, {T}: An opponent chooses target creature he or she controls. Put a token that's a copy of that creature onto the battlefield. That token gains haste until end of turn. Exile the token at the beginning of the next end step. Activate this ability only any time you could cast a sorcery.|
4603|Emerald Medallion|{2}|Artifact|||Green spells you cast cost {1} less to cast.|Tempest|Rare|Sue Ellen Brown|6|Green spells you cast cost {1} less to cast.|
4604|Emmessi Tome|{4}|Artifact|||{5}, {T}: Draw two cards, then discard a card.|Tempest|Rare|Tom Wänerstrand|7|{5}, {T}: Draw two cards, then discard a card.|
4605|Energizer|{4}|Artifact Creature - Juggernaut|2|2|{2}, {T}: Put a +1/+1 counter on Energizer.|Tempest|Rare|Val Mayerik|8|{2}, {T}: Put a +1/+1 counter on Energizer.|
4606|Essence Bottle|{2}|Artifact|||{3}, {T}: Put an elixir counter on Essence Bottle.<br>{T}, Remove all elixir counters from Essence Bottle: You gain 2 life for each elixir counter removed this way.|Tempest|Uncommon|Donato Giancola|9|{3}, {T}: Put an elixir counter on Essence Bottle.<br>{T}, Remove all elixir counters from Essence Bottle: You gain 2 life for each elixir counter removed this way.|
4607|Excavator|{2}|Artifact|||{T}, Sacrifice a basic land: Target creature gains landwalk of each of the land types of the sacrificed land until end of turn.|Tempest|Uncommon|Tom Kyffin|10|{T}, Sacrifice a basic land: Target creature gains landwalk of each of the land types of the sacrificed land until end of turn.|
4608|Flowstone Sculpture|{6}|Artifact Creature - Shapeshifter|4|4|{2}, Discard a card: Put a +1/+1 counter on Flowstone Sculpture or Flowstone Sculpture gains flying, first strike, or trample. <i>(This effect lasts indefinitely.)</i>|Tempest|Rare|Hannibal King|11|{2}, Discard a card: Put a +1/+1 counter on Flowstone Sculpture or Flowstone Sculpture gains flying, first strike, or trample. <i>(This effect lasts indefinitely.)</i>|
4609|Fool's Tome|{4}|Artifact|||{2}, {T}: Draw a card. Activate this ability only if you have no cards in hand.|Tempest|Rare|Julie Baroh|12|{2}, {T}: Draw a card. Activate this ability only if you have no cards in hand.|
4610|Grindstone|{1}|Artifact|||{3}, {T}: Put the top two cards of target player's library into that player's graveyard. If both cards share a color, repeat this process.|Tempest|Rare|Greg Simanson|13|{3}, {T}: Put the top two cards of target player's library into that player's graveyard. If both cards share a color, repeat this process.|
4611|Helm of Possession|{4}|Artifact|||You may choose not to untap Helm of Possession during your untap step.<br>{2}, {T}, Sacrifice a creature: Gain control of target creature for as long as you control Helm of Possession and Helm of Possession remains tapped.|Tempest|Rare|Janet Aulisio|14|You may choose not to untap Helm of Possession during your untap step.<br>{2}, {T}, Sacrifice a creature: Gain control of target creature for as long as you control Helm of Possession and Helm of Possession remains tapped.|
4612|Jet Medallion|{2}|Artifact|||Black spells you cast cost {1} less to cast.|Tempest|Rare|Sue Ellen Brown|15|Black spells you cast cost {1} less to cast.|
4613|Jinxed Idol|{2}|Artifact|||At the beginning of your upkeep, Jinxed Idol deals 2 damage to you.<br>Sacrifice a creature: Target opponent gains control of Jinxed Idol.|Tempest|Rare|John Matson|16|At the beginning of your upkeep, Jinxed Idol deals 2 damage to you.<br>Sacrifice a creature: Target opponent gains control of Jinxed Idol.|
4614|Lotus Petal|{0}|Artifact|||{T}, Sacrifice Lotus Petal: Add one mana of any color to your mana pool.|Tempest|Common|April Lee|17|{T}, Sacrifice Lotus Petal: Add one mana of any color to your mana pool.|
4615|Magnetic Web|{2}|Artifact|||If a creature with a magnet counter on it attacks, all creatures with magnet counters on them attack if able.<br>Whenever a creature with a magnet counter on it attacks, all creatures with magnet counters on them block that creature this turn if able.<br>{1}, {T}: Put a magnet counter on target creature.|Tempest|Rare|Adam Rex|18|If a creature with a magnet counter on it attacks, all creatures with magnet counters on them attack if able.<br>Whenever a creature with a magnet counter on it attacks, all creatures with magnet counters on them block that creature this turn if able.<br>{1}, {T}: Put a magnet counter on target creature.|
