ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
397517|Forest||Basic Land - Forest|||G|Tempest Remastered|Land|Douglas Shuler|269|G|
397654|Island||Basic Land - Island|||U|Tempest Remastered|Land|Randy Gallegos|257|U|
397597|Mountain||Basic Land - Mountain|||R|Tempest Remastered|Land|Mark Poole|265|R|
397433|Plains||Basic Land - Plains|||W|Tempest Remastered|Land|Terese Nielsen|253|W|
397467|Swamp||Basic Land - Swamp|||B|Tempest Remastered|Land|Brom|261|B|
397564|Acidic Sliver|{B}{R}|Creature - Sliver|2|2|All Slivers have "{2}, Sacrifice this permanent: This permanent deals 2 damage to target creature or player."|Tempest Remastered|Uncommon|Jeff Miracola|206|All Slivers have "{2}, Sacrifice this permanent: This permanent deals 2 damage to target creature or player."|
397641|Aftershock|{2}{R}{R}|Sorcery|||Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.|Tempest Remastered|Common|Hannibal King|124|Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.|
397389|Aluren|{2}{G}{G}|Enchantment|||Any player may play creature cards with converted mana cost 3 or less without paying their mana cost and as though they had flash.|Tempest Remastered|Rare|April Lee|165|Any player may play creature cards with converted mana cost 3 or less without paying their mana cost and as though they had flash.|
397533|Anarchist|{4}{R}|Creature - Human Wizard|2|2|When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.|Tempest Remastered|Common|Brom|125|When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.|
397647|Angelic Blessing|{2}{W}|Sorcery|||Target creature gets +3/+3 and gains flying until end of turn. <i>(It can't be blocked except by creatures with flying or reach.)</i>|Tempest Remastered|Common|Mark Zug|1|Target creature gets +3/+3 and gains flying until end of turn. <i>(It can't be blocked except by creatures with flying or reach.)</i>|
397598|Angelic Protector|{3}{W}|Creature - Angel|2|2|Flying<br>Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.|Tempest Remastered|Uncommon|DiTerlizzi|2|Flying<br>Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.|
397397|Anoint|{W}|Instant|||Buyback {3} <i>(You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)</i><br>Prevent the next 3 damage that would be dealt to target creature this turn.|Tempest Remastered|Common|Eric David Anderson|3|Buyback {3} <i>(You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)</i><br>Prevent the next 3 damage that would be dealt to target creature this turn.|
397515|Armor Sliver|{2}{W}|Creature - Sliver|2|2|All Sliver creatures have "{2}: This creature gets +0/+1 until end of turn."|Tempest Remastered|Common|Scott Kirschner|4|All Sliver creatures have "{2}: This creature gets +0/+1 until end of turn."|
397411|Armored Pegasus|{1}{W}|Creature - Pegasus|1|2|Flying|Tempest Remastered|Common|Una Fricker|5|Flying|
397621|Avenging Angel|{3}{W}{W}|Creature - Angel|3|3|Flying<br>When Avenging Angel dies, you may put it on top of its owner's library.|Tempest Remastered|Uncommon|Matthew D. Wilson|6|Flying<br>When Avenging Angel dies, you may put it on top of its owner's library.|
397620|Bandage|{W}|Instant|||Prevent the next 1 damage that would be dealt to target creature or player this turn.<br>Draw a card.|Tempest Remastered|Common|Rebecca Guay|7|Prevent the next 1 damage that would be dealt to target creature or player this turn.<br>Draw a card.|
397524|Barbed Sliver|{2}{R}|Creature - Sliver|2|2|All Sliver creatures have "{2}: This creature gets +1/+0 until end of turn."|Tempest Remastered|Common|Scott Kirschner|126|All Sliver creatures have "{2}: This creature gets +1/+0 until end of turn."|
397557|Bottle Gnomes|{3}|Artifact Creature - Gnome|1|3|Sacrifice Bottle Gnomes: You gain 3 life.|Tempest Remastered|Common|Kaja Foglio|217|Sacrifice Bottle Gnomes: You gain 3 life.|
397490|Caldera Lake||Land|||Caldera Lake enters the battlefield tapped.<br>{T}: Add {1} to your mana pool.<br>{T}: Add {U} or {R} to your mana pool. Caldera Lake deals 1 damage to you.|Tempest Remastered|Uncommon|Allen Williams|235|Caldera Lake enters the battlefield tapped.<br>{T}: Add {1} to your mana pool.<br>{T}: Add {U} or {R} to your mana pool. Caldera Lake deals 1 damage to you.|
397631|Cannibalize|{1}{B}|Sorcery|||Choose two target creatures controlled by the same player. Exile one of those creatures and put two +1/+1 counters on the other.|Tempest Remastered|Uncommon|Robert Bliss|83|Choose two target creatures controlled by the same player. Exile one of those creatures and put two +1/+1 counters on the other.|
397437|Canopy Spider|{1}{G}|Creature - Spider|1|3|Reach <i>(This creature can block creatures with flying.)</i>|Tempest Remastered|Common|Christopher Rush|166|Reach <i>(This creature can block creatures with flying.)</i>|
397566|Canyon Wildcat|{1}{R}|Creature - Cat|2|1|Mountainwalk|Tempest Remastered|Common|Gary Leach|127|Mountainwalk|
397492|Capsize|{1}{U}{U}|Instant|||Buyback {3} <i>(You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)</i><br>Return target permanent to its owner's hand.|Tempest Remastered|Uncommon|Tom Wänerstrand|42|Buyback {3} <i>(You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)</i><br>Return target permanent to its owner's hand.|
397506|Carnassid|{4}{G}{G}|Creature - Beast|5|4|Trample<br>{1}{G}: Regenerate Carnassid.|Tempest Remastered|Uncommon|Brom|167|Trample<br>{1}{G}: Regenerate Carnassid.|
