ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
106625|Sacred Mesa|{2}{W}|Enchantment|||At the beginning of your upkeep, sacrifice Sacred Mesa unless you sacrifice a Pegasus.<br>{1}{W}: Put a 1/1 white Pegasus creature token with flying onto the battlefield.|Time Spiral "Timeshifted"|Special|Margaret Organ-Kean|13|At the beginning of your upkeep, sacrifice Sacred Mesa unless you sacrifice a Pegasus.<br>{1}{W}: Put a 1/1 white Pegasus creature token with flying onto the battlefield.|
106628|XXValor (Valor)|{3}{W}|Creature - Incarnation|2|2|First strike<br>As long as Valor is in your graveyard and you control a Plains, creatures you control have first strike.|Time Spiral "Timeshifted"|Special|Kev Walker|16|First strike<br>As long as Valor is in your graveyard and you control a Plains, creatures you control have first strike.|
106631|Dandân|{U}{U}|Creature - Fish|4|1|Dandân can't attack unless defending player controls an Island.<br>When you control no Islands, sacrifice Dandân.|Time Spiral "Timeshifted"|Special|Drew Tucker|19|Dandân can't attack unless defending player controls an Island.<br>When you control no Islands, sacrifice Dandân.|
106636|Disintegrate|{X}{R}|Sorcery|||Disintegrate deals X damage to target creature or player. That creature can't be regenerated this turn. If the creature would die this turn, exile it instead.|Time Spiral "Timeshifted"|Special|Anson Maddocks|58|Disintegrate deals X damage to target creature or player. That creature can't be regenerated this turn. If the creature would die this turn, exile it instead.|
106637|Stormscape Familiar|{1}{U}|Creature - Bird|1|1|Flying<br>White spells and black spells you cast cost {1} less to cast.|Time Spiral "Timeshifted"|Special|Heather Hudson|32|Flying<br>White spells and black spells you cast cost {1} less to cast.|
106638|Sengir Autocrat|{3}{B}|Creature - Human|2|2|When Sengir Autocrat enters the battlefield, put three 0/1 black Serf creature tokens onto the battlefield.<br>When Sengir Autocrat leaves the battlefield, exile all Serf tokens.|Time Spiral "Timeshifted"|Special|David A. Cherry|45|When Sengir Autocrat enters the battlefield, put three 0/1 black Serf creature tokens onto the battlefield.<br>When Sengir Autocrat leaves the battlefield, exile all Serf tokens.|
106639|Celestial Dawn|{1}{W}{W}|Enchantment|||Lands you control are Plains.<br>Nonland cards you own that aren't on the battlefield, spells you control, and nonland permanents you control are white.<br>You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.|Time Spiral "Timeshifted"|Special|Liz Danforth|3|Lands you control are Plains.<br>Nonland cards you own that aren't on the battlefield, spells you control, and nonland permanents you control are white.<br>You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.|
106642|Lord of Atlantis|{U}{U}|Creature - Merfolk|2|2|Other Merfolk creatures get +1/+1 and have islandwalk.|Time Spiral "Timeshifted"|Special|Melissa A. Benson|24|Other Merfolk creatures get +1/+1 and have islandwalk.|
106644|Soul Collector|{3}{B}{B}|Creature - Vampire|3|4|Flying<br>Whenever a creature dealt damage by Soul Collector this turn dies, return that card to the battlefield under your control.<br>Morph {B}{B}{B} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Time Spiral "Timeshifted"|Special|Matthew D. Wilson|47|Flying<br>Whenever a creature dealt damage by Soul Collector this turn dies, return that card to the battlefield under your control.<br>Morph {B}{B}{B} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
106645|Akroma, Angel of Wrath|{5}{W}{W}{W}|Legendary Creature - Angel|6|6|Flying, first strike, vigilance, trample, haste, protection from black and from red|Time Spiral "Timeshifted"|Special|Ron Spears|1|Flying, first strike, vigilance, trample, haste, protection from black and from red|
106646|Orgg|{3}{R}{R}|Creature - Orgg|6|6|Trample<br>Orgg can't attack if defending player controls an untapped creature with power 3 or greater.<br>Orgg can't block creatures with power 3 or greater.|Time Spiral "Timeshifted"|Special|Daniel Gelon|67|Trample<br>Orgg can't attack if defending player controls an untapped creature with power 3 or greater.<br>Orgg can't block creatures with power 3 or greater.|
106647|Essence Sliver|{3}{W}|Creature - Sliver|3|3|Whenever a Sliver deals damage, its controller gains that much life.|Time Spiral "Timeshifted"|Special|Glen Angus|8|Whenever a Sliver deals damage, its controller gains that much life.|
106650|Scragnoth|{4}{G}|Creature - Beast|3|4|Scragnoth can't be countered.<br>Protection from blue|Time Spiral "Timeshifted"|Special|Jeff Laubenstein|83|Scragnoth can't be countered.<br>Protection from blue|
106651|Whispers of the Muse|{U}|Instant|||Buyback {5} <i>(You may pay an additional {5} as you cast this spell. If you do, put this card into your hand as it resolves.)</i><br>Draw a card.|Time Spiral "Timeshifted"|Special|Quinton Hoover|35|Buyback {5} <i>(You may pay an additional {5} as you cast this spell. If you do, put this card into your hand as it resolves.)</i><br>Draw a card.|
106656|Swamp Mosquito|{1}{B}|Creature - Insect|0|1|Flying<br>Whenever Swamp Mosquito attacks and isn't blocked, defending player gets a poison counter. <i>(A player with ten or more poison counters loses the game.)</i>|Time Spiral "Timeshifted"|Special|Nicola Leonard|49|Flying<br>Whenever Swamp Mosquito attacks and isn't blocked, defending player gets a poison counter. <i>(A player with ten or more poison counters loses the game.)</i>|
106662|Wall of Roots|{1}{G}|Creature - Plant Wall|0|5|Defender<br>Put a -0/-1 counter on Wall of Roots: Add {G} to your mana pool. Activate this ability only once each turn.|Time Spiral "Timeshifted"|Special|John Matson|89|Defender<br>Put a -0/-1 counter on Wall of Roots: Add {G} to your mana pool. Activate this ability only once each turn.|
106664|Kobold Taskmaster|{1}{R}|Creature - Kobold|1|2|Other Kobold creatures you control get +1/+0.|Time Spiral "Timeshifted"|Special|Randy Asplund|65|Other Kobold creatures you control get +1/+0.|
106665|Auratog|{1}{W}|Creature - Atog|1|2|Sacrifice an enchantment: Auratog gets +2/+2 until end of turn.|Time Spiral "Timeshifted"|Special|Jeff Miracola|2|Sacrifice an enchantment: Auratog gets +2/+2 until end of turn.|
107275|Safe Haven||Land|||{2}, {T}: Exile target creature you control.<br>At the beginning of your upkeep, you may sacrifice Safe Haven. If you do, return each card exiled with Safe Haven to the battlefield under its owner's control.|Time Spiral "Timeshifted"|Special|Christopher Rush|121|{2}, {T}: Exile target creature you control.<br>At the beginning of your upkeep, you may sacrifice Safe Haven. If you do, return each card exiled with Safe Haven to the battlefield under its owner's control.|
107278|Evil Eye of Orms-by-Gore|{4}{B}|Creature - Eye|3|6|Non-Eye creatures you control can't attack.<br>Evil Eye of Orms-by-Gore can't be blocked except by Walls.|Time Spiral "Timeshifted"|Special|Jesper Myrfors|42|Non-Eye creatures you control can't attack.<br>Evil Eye of Orms-by-Gore can't be blocked except by Walls.|
107280|Goblin Snowman|{3}{R}|Creature - Goblin|1|1|Whenever Goblin Snowman blocks, prevent all combat damage that would be dealt to and dealt by it this turn.<br>{T}: Goblin Snowman deals 1 damage to target creature it's blocking.|Time Spiral "Timeshifted"|Special|Daniel Gelon|64|Whenever Goblin Snowman blocks, prevent all combat damage that would be dealt to and dealt by it this turn.<br>{T}: Goblin Snowman deals 1 damage to target creature it's blocking.|
107282|Hunting Moa|{2}{G}|Creature - Bird Beast|3|2|Echo {2}{G} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Hunting Moa enters the battlefield or dies, put a +1/+1 counter on target creature.|Time Spiral "Timeshifted"|Special|DiTerlizzi|80|Echo {2}{G} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Hunting Moa enters the battlefield or dies, put a +1/+1 counter on target creature.|
107283|Icatian Javelineers|{W}|Creature - Human Soldier|1|1|Icatian Javelineers enters the battlefield with a javelin counter on it.<br>{T}, Remove a javelin counter from Icatian Javelineers: Icatian Javelineers deals 1 damage to target creature or player.|Time Spiral "Timeshifted"|Special|Scott Kirschner|10|Icatian Javelineers enters the battlefield with a javelin counter on it.<br>{T}, Remove a javelin counter from Icatian Javelineers: Icatian Javelineers deals 1 damage to target creature or player.|
107288|Dauthi Slayer|{B}{B}|Creature - Dauthi Soldier|2|2|Shadow <i>(This creature can block or be blocked by only creatures with shadow.)</i><br>Dauthi Slayer attacks each turn if able.|Time Spiral "Timeshifted"|Special|Dermot Power|41|Shadow <i>(This creature can block or be blocked by only creatures with shadow.)</i><br>Dauthi Slayer attacks each turn if able.|
107291|Flying Men|{U}|Creature - Human|1|1|Flying|Time Spiral "Timeshifted"|Special|Christopher Rush|20|Flying|
107294|Ghost Ship|{2}{U}{U}|Creature - Spirit|2|4|Flying<br>{U}{U}{U}: Regenerate Ghost Ship.|Time Spiral "Timeshifted"|Special|Tom Wänerstrand|21|Flying<br>{U}{U}{U}: Regenerate Ghost Ship.|
107296|Hail Storm|{1}{G}{G}|Instant|||Hail Storm deals 2 damage to each attacking creature and 1 damage to you and each creature you control.|Time Spiral "Timeshifted"|Special|Jeff A. Menges|79|Hail Storm deals 2 damage to each attacking creature and 1 damage to you and each creature you control.|
107299|Browbeat|{2}{R}|Sorcery|||Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.|Time Spiral "Timeshifted"|Special|Mark Tedin|56|Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.|
107302|Disenchant|{1}{W}|Instant|||Destroy target artifact or enchantment.|Time Spiral "Timeshifted"|Special|Amy Weber|6|Destroy target artifact or enchantment.|
