ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
106630|Chronatog Totem|{3}|Artifact|||{T}: Add {U} to your mana pool.<br>{1}{U}: Chronatog Totem becomes a 1/2 blue Atog artifact creature until end of turn.<br>{0}: Chronatog Totem gets +3/+3 until end of turn. You skip your next turn. Activate this ability only once each turn and only if Chronatog Totem is a creature.|Time Spiral|Uncommon|Christopher Rush|252|{T}: Add {U} to your mana pool.<br>{1}{U}: Chronatog Totem becomes a 1/2 blue Atog artifact creature until end of turn.<br>{0}: Chronatog Totem gets +3/+3 until end of turn. You skip your next turn. Activate this ability only once each turn and only if Chronatog Totem is a creature.|
106632|Tendrils of Corruption|{3}{B}|Instant|||Tendrils of Corruption deals X damage to target creature and you gain X life, where X is the number of Swamps you control.|Time Spiral|Common|Mike Dringenberg|136|Tendrils of Corruption deals X damage to target creature and you gain X life, where X is the number of Swamps you control.|
106643|Savage Thallid|{3}{G}{G}|Creature - Fungus|5|2|At the beginning of your upkeep, put a spore counter on Savage Thallid.<br>Remove three spore counters from Savage Thallid: Put a 1/1 green Saproling creature token onto the battlefield.<br>Sacrifice a Saproling: Regenerate target Fungus.|Time Spiral|Common|Luca Zontini|213|At the beginning of your upkeep, put a spore counter on Savage Thallid.<br>Remove three spore counters from Savage Thallid: Put a 1/1 green Saproling creature token onto the battlefield.<br>Sacrifice a Saproling: Regenerate target Fungus.|
106648|Watcher Sliver|{3}{W}|Creature - Sliver|2|2|All Sliver creatures get +0/+2.|Time Spiral|Common|Liz Danforth|45|All Sliver creatures get +0/+2.|
106652|Foriysian Interceptor|{3}{W}|Creature - Human Soldier|0|5|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Defender<br>Foriysian Interceptor can block an additional creature.|Time Spiral|Common|Anson Maddocks|18|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Defender<br>Foriysian Interceptor can block an additional creature.|
106653|Flowstone Channeler|{2}{R}|Creature - Human Spellshaper|2|2|{1}{R}, {T}, Discard a card: Target creature gets +1/-1 and gains haste until end of turn.|Time Spiral|Common|Alan Pollack|155|{1}{R}, {T}, Discard a card: Target creature gets +1/-1 and gains haste until end of turn.|
106654|Temporal Isolation|{1}{W}|Enchantment - Aura|||Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Enchant creature<br>Enchanted creature has shadow. <i>(It can block or be blocked by only creatures with shadow.)</i><br>Prevent all damage that would be dealt by enchanted creature.|Time Spiral|Common|Stephen Tappin|43|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Enchant creature<br>Enchanted creature has shadow. <i>(It can block or be blocked by only creatures with shadow.)</i><br>Prevent all damage that would be dealt by enchanted creature.|
106657|Pull from Eternity|{W}|Instant|||Put target face-up exiled card into its owner's graveyard.|Time Spiral|Uncommon|Ron Spears|35|Put target face-up exiled card into its owner's graveyard.|
106658|Mana Skimmer|{3}{B}|Creature - Leech|2|2|Flying<br>Whenever Mana Skimmer deals damage to a player, tap target land that player controls. That land doesn't untap during its controller's next untap step.|Time Spiral|Common|Daniel Gelon|117|Flying<br>Whenever Mana Skimmer deals damage to a player, tap target land that player controls. That land doesn't untap during its controller's next untap step.|
106668|Crookclaw Transmuter|{3}{U}|Creature - Bird Wizard|3|1|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying<br>When Crookclaw Transmuter enters the battlefield, switch target creature's power and toughness until end of turn.|Time Spiral|Common|Ron Spencer|55|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying<br>When Crookclaw Transmuter enters the battlefield, switch target creature's power and toughness until end of turn.|
