ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
10717|Temp of the Damned|{2}{B}|Summon- Zombie|3|3|When you play Temp of the Damned, roll a six-sided die. Temp of the Damned comes into play with a number of funk counters on it equal to the die roll.<br>During your upkeep, remove a funk counter from Temp of the Damned or sacrifice Temp of the Damned.|Unglued|Common|Adam Rex|38|When you play Temp of the Damned, roll a six-sided die. Temp of the Damned comes into play with a number of funk counters on it equal to the die roll.<br>During your upkeep, remove a funk counter from Temp of the Damned or sacrifice Temp of the Damned.|
5648|Rock Lobster|{4}|Artifact Creature|4|3|Scissors Lizards cannot attack or block.|Unglued|Common|Heather Hudson|79|Scissors Lizards cannot attack or block.|
5698|Scissors Lizard|{4}|Artifact Creature|4|3|Paper Tigers cannot attack or block.|Unglued|Common|Heather Hudson|80|Paper Tigers cannot attack or block.|
5705|Paper Tiger|{4}|Artifact Creature|4|3|Rock Lobsters cannot attack or block.|Unglued|Common|Heather Hudson|78|Rock Lobsters cannot attack or block.|
5712|Chaos Confetti|{4}|Artifact|||o4, ocT: Tear Chaos Confetti into pieces. Throw the pieces onto the playing area from a distance of at least five feet. Destroy each card in play that a piece touches. Remove the pieces from the game afterwards.|Unglued|Common|Mark Tedin|72|o4, ocT: Tear Chaos Confetti into pieces. Throw the pieces onto the playing area from a distance of at least five feet. Destroy each card in play that a piece touches. Remove the pieces from the game afterwards.|
5725|Mesa Chicken|{W}{W}|Summon- Chicken|2|2|Stand up, Flap your arms, Cluck like a chicken: Mesa Chicken gains flying until end of turn.|Unglued|Common|Kev Walker|9|Stand up, Flap your arms, Cluck like a chicken: Mesa Chicken gains flying until end of turn.|
5726|Double Dip|{4}{W}|Instant|||Choose another player. Gain 5 life now and an additional 5 life at the beginning of the next game with that player.|Unglued|Common|D. Alexander Gregory|3|Choose another player. Gain 5 life now and an additional 5 life at the beginning of the next game with that player.|
5755|Sex Appeal|{W}|Instant|||Prevent up to 3 damage total to any number of creatures and/or players. If there are more players in the room of the opposite sex, prevent up to 3 additional damage total to any number of creatures and/or players.|Unglued|Common|Matthew Wilson|13|Prevent up to 3 damage total to any number of creatures and/or players. If there are more players in the room of the opposite sex, prevent up to 3 additional damage total to any number of creatures and/or players.|
5763|Clambassadors|{3}{U}|Summon- Clamfolk|4|4|If Clambassadors damages any player, choose an artifact, creature, or land you control. That player gains control of that artifact, creature, or land.|Unglued|Common|Randy Elliott|18|If Clambassadors damages any player, choose an artifact, creature, or land you control. That player gains control of that artifact, creature, or land.|
5770|Clam-I-Am|{2}{U}|Summon- Clamfolk|2|2|Whenever you roll a 3 on a six-sided die, you may reroll that die.|Unglued|Common|Randy Elliott|19|Whenever you roll a 3 on a six-sided die, you may reroll that die.|
5800|Denied!|{U}|Interrupt|||Play Denied only as any opponent casts target spell. Name a card, then look at all cards in that player's hand. If the named card is in the player's hand, counter target spell.|Unglued|Common|Quinton Hoover|22|Play Denied only as any opponent casts target spell. Name a card, then look at all cards in that player's hand. If the named card is in the player's hand, counter target spell.|
5822|Fowl Play|{2}{U}|Enchant Creature|||Enchanted creature loses all abilities and is a 1/1 creature that counts as a Chicken.|Unglued|Common|Mark Poole|24|Enchanted creature loses all abilities and is a 1/1 creature that counts as a Chicken.|
5824|Clam Session|{1}{U}{U}|Summon- Clamfolk|2|5|When Clam Session comes into play, choose a word. <br>During your upkeep, sing at least six words of a song, one of which must be the chosen word, or sacrifice Clam Session. You cannot repeat a song.|Unglued|Common|Randy Elliott|20|When Clam Session comes into play, choose a word. <br>During your upkeep, sing at least six words of a song, one of which must be the chosen word, or sacrifice Clam Session. You cannot repeat a song.|
5839|Deadhead|{3}{B}|Summon- Zombie|3|3|Put Deadhead into play. Use this ability only if any opponent loses contact with his or her hand of cards and only if Deadhead is in your graveyard.|Unglued|Common|Daren Bader|30|Put Deadhead into play. Use this ability only if any opponent loses contact with his or her hand of cards and only if Deadhead is in your graveyard.|
5846|Double Cross|{3}{B}{B}|Sorcery|||Choose another player. Look at that player's hand and choose one of those cards other than a basic land. He or she discards that card. At the beginning of the next game with the player, look at the player's hand and choose one of those cards other than a basic land. He or she discards that card.|Unglued|Common|Jeff Laubenstein|31|Choose another player. Look at that player's hand and choose one of those cards other than a basic land. He or she discards that card. At the beginning of the next game with the player, look at the player's hand and choose one of those cards other than a basic land. He or she discards that card.|
5864|Poultrygeist|{2}{B}|Summon- Chicken|1|1|Flying<br>Whenever a creature is put into any graveyard from play, you may roll a six-sided die. On a 1, sacrifice Poultrygeist. Otherwise, put a +1/+1 counter on Poultrygeist.|Unglued|Common|Daren Bader|37|Flying<br>Whenever a creature is put into any graveyard from play, you may roll a six-sided die. On a 1, sacrifice Poultrygeist. Otherwise, put a +1/+1 counter on Poultrygeist.|
8812|Double Deal|{4}{R}|Sorcery|||Choose another player. Double Deal deals 3 damage to that player now and deals an additional 3 damage to the player at the beginning of the next game with the player.|Unglued|Common|Edward P. Beard, Jr|42|Choose another player. Double Deal deals 3 damage to that player now and deals an additional 3 damage to the player at the beginning of the next game with the player.|
8904|Hurloon Wrangler|{2}{R}|Summon- Minotaur|2|2|Denimwalk <i>(If defending player is wearing any clothing made of denim, this creature is unblockable.)</i>|Unglued|Common|Kaja Foglio|46|Denimwalk <i>(If defending player is wearing any clothing made of denim, this creature is unblockable.)</i>|
9665|Goblin Bookie|{R}|Summon- Goblin|1|1|oR, ocT: Reflip any coin or reroll any die.|Unglued|Common|Claymore J. Flapdoodle|43|oR, ocT: Reflip any coin or reroll any die.|
9666|Goblin Bowling Team|{3}{R}|Summon- Goblins|1|1|Whenever Goblin Bowling Team damages any creature or player, roll a six-sided die. Goblin Bowling Team deals to that creature or player additional damage equal to the die roll.|Unglued|Common|Pete Venters|44|Whenever Goblin Bowling Team damages any creature or player, roll a six-sided die. Goblin Bowling Team deals to that creature or player additional damage equal to the die roll.|
