ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
11588|Cloud of Faeries|{1}{U}|Creature - Faerie|1|1|Flying<br>When Cloud of Faeries enters the battlefield, untap up to two lands.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Urza's Legacy|Common|Melissa A. Benson|29|Flying<br>When Cloud of Faeries enters the battlefield, untap up to two lands.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
12352|Opal Champion|{2}{W}|Enchantment|||When an opponent casts a creature spell, if Opal Champion is an enchantment, Opal Champion becomes a 3/3 Knight creature with first strike.|Urza's Legacy|Common|Edward P. Beard, Jr.|16|When an opponent casts a creature spell, if Opal Champion is an enchantment, Opal Champion becomes a 3/3 Knight creature with first strike.|
12353|Defender of Law|{2}{W}|Creature - Human Knight|2|1|Flash<br>Protection from red|Urza's Legacy|Common|Carl Critchlow|5|Flash<br>Protection from red|
12354|Angelic Curator|{1}{W}|Creature - Angel Spirit|1|1|Flying, protection from artifacts|Urza's Legacy|Common|Greg Staples|1|Flying, protection from artifacts|
12355|Tragic Poet|{W}|Creature - Human|1|1|{T}, Sacrifice Tragic Poet: Return target enchantment card from your graveyard to your hand.|Urza's Legacy|Common|Quinton Hoover|24|{T}, Sacrifice Tragic Poet: Return target enchantment card from your graveyard to your hand.|
12356|Expendable Troops|{1}{W}|Creature - Human Soldier|2|1|{T}, Sacrifice Expendable Troops: Expendable Troops deals 2 damage to target attacking or blocking creature.|Urza's Legacy|Common|Carl Critchlow|8|{T}, Sacrifice Expendable Troops: Expendable Troops deals 2 damage to target attacking or blocking creature.|
12358|Iron Will|{W}|Instant|||Target creature gets +0/+4 until end of turn.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Urza's Legacy|Common|Val Mayerik|10|Target creature gets +0/+4 until end of turn.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
12359|Cessation|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack.<br>When Cessation is put into a graveyard from the battlefield, return Cessation to its owner's hand.|Urza's Legacy|Common|Mark Zug|4|Enchant creature<br>Enchanted creature can't attack.<br>When Cessation is put into a graveyard from the battlefield, return Cessation to its owner's hand.|
12360|Radiant's Judgment|{2}{W}|Instant|||Destroy target creature with power 4 or greater.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Urza's Legacy|Common|Greg Staples|22|Destroy target creature with power 4 or greater.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
12364|Radiant's Dragoons|{3}{W}|Creature - Human Soldier|2|5|Echo {3}{W} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Radiant's Dragoons enters the battlefield, you gain 5 life.|Urza's Legacy|Uncommon|Pete Venters|21|Echo {3}{W} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Radiant's Dragoons enters the battlefield, you gain 5 life.|
