ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
456640|Aethersnipe|{5}{U}|Creature - Elemental|4|4|When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand.<br>Evoke {1}{U}{U} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|Ultimate Masters|Common|Zoltan Boros & Gabor Szikszai|44|When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand.<br>Evoke {1}{U}{U} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|
456717|Akroan Crusader|{R}|Creature - Human Soldier|1|1|Heroic- Whenever you cast a spell that targets Akroan Crusader, create a 1/1 red Soldier creature token with haste.|Ultimate Masters|Common|Johann Bodin|121|Heroic- Whenever you cast a spell that targets Akroan Crusader, create a 1/1 red Soldier creature token with haste.|
456597|All Is Dust|{7}|Tribal Sorcery - Eldrazi|||Each player sacrifices all colored permanents they control.|Ultimate Masters|Rare|Jason Felix|1|Each player sacrifices all colored permanents they control.|
456605|Ancestor's Chosen|{5}{W}{W}|Creature - Human Cleric|4|4|First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.|Ultimate Masters|Uncommon|Pete Venters|9|First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.|
456832|Ancient Tomb||Land|||{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.|Ultimate Masters|Rare|Yeong-Hao Han|236|{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.|
456792|Angel of Despair|{3}{W}{W}{B}{B}|Creature - Angel|5|5|Flying<br>When Angel of Despair enters the battlefield, destroy target permanent.|Ultimate Masters|Uncommon|Todd Lockwood|196|Flying<br>When Angel of Despair enters the battlefield, destroy target permanent.|
456606|Angelic Renewal|{1}{W}|Enchantment|||Whenever a creature is put into your graveyard from the battlefield, you may sacrifice Angelic Renewal. If you do, return that card to the battlefield.|Ultimate Masters|Common|Rebecca Guay|10|Whenever a creature is put into your graveyard from the battlefield, you may sacrifice Angelic Renewal. If you do, return that card to the battlefield.|
456718|Anger|{3}{R}|Creature - Incarnation|2|2|Haste<br>As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste.|Ultimate Masters|Uncommon|Svetlin Velinov|122|Haste<br>As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste.|
456679|Appetite for Brains|{B}|Sorcery|||Target opponent reveals their hand. You choose a card from it with converted mana cost 4 or greater and exile that card.|Ultimate Masters|Uncommon|Michael C. Hayes|83|Target opponent reveals their hand. You choose a card from it with converted mana cost 4 or greater and exile that card.|
456680|Apprentice Necromancer|{1}{B}|Creature - Zombie Wizard|1|1|{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.|Ultimate Masters|Uncommon|Randy Vargas|84|{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.|
456641|Archaeomancer|{2}{U}{U}|Creature - Human Wizard|1|2|When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.|Ultimate Masters|Common|Zoltan Boros|45|When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.|
456719|Arena Athlete|{1}{R}|Creature - Human|2|1|Heroic- Whenever you cast a spell that targets Arena Athlete, target creature an opponent controls can't block this turn.|Ultimate Masters|Common|Jason Chan|123|Heroic- Whenever you cast a spell that targets Arena Athlete, target creature an opponent controls can't block this turn.|
456598|Artisan of Kozilek|{9}|Creature - Eldrazi|10|9|When you cast this spell, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|Ultimate Masters|Uncommon|Jason Felix|2|When you cast this spell, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|
456642|Back to Basics|{2}{U}|Enchantment|||Nonbasic lands don't untap during their controllers' untap steps.|Ultimate Masters|Rare|Terese Nielsen|46|Nonbasic lands don't untap during their controllers' untap steps.|
456720|Balefire Dragon|{5}{R}{R}|Creature - Dragon|6|6|Flying<br>Whenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls.|Ultimate Masters|Mythic Rare|Eric Deschamps|124|Flying<br>Whenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls.|
456752|Basking Rootwalla|{G}|Creature - Lizard|1|1|{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.<br>Madness {0} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|Ultimate Masters|Common|Heather Hudson|156|{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.<br>Madness {0} <i>(If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)</i>|
456807|Beckon Apparition|{W/B}|Instant|||Exile target card from a graveyard. Create a 1/1 white and black Spirit creature token with flying.|Ultimate Masters|Common|Cliff Childs|211|Exile target card from a graveyard. Create a 1/1 white and black Spirit creature token with flying.|
456753|Become Immense|{5}{G}|Instant|||Delve <i>(Each card you exile from your graveyard while casting this spell pays for {1}.)</i><br>Target creature gets +6/+6 until end of turn.|Ultimate Masters|Uncommon|Jaime Jones|157|Delve <i>(Each card you exile from your graveyard while casting this spell pays for {1}.)</i><br>Target creature gets +6/+6 until end of turn.|
456681|Bitterblossom|{1}{B}|Tribal Enchantment - Faerie|||At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.|Ultimate Masters|Mythic Rare|Jesper Ejsing|85|At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.|
