ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
457135|Ancient Tomb||Land|||{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.|Ultimate Box Toppers|Special|Yeong-Hao Han|31|{T}: Add {C}{C}. Ancient Tomb deals 2 damage to you.|
457118|Balefire Dragon|{5}{R}{R}|Creature - Dragon|6|6|Flying<br>Whenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls.|Ultimate Box Toppers|Special|Eric Deschamps|14|Flying<br>Whenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls.|
457111|Bitterblossom|{1}{B}|Tribal Enchantment - Faerie|||At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.|Ultimate Box Toppers|Special|Jesper Ejsing|7|At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.|
457136|Cavern of Souls||Land|||As Cavern of Souls enters the battlefield, choose a creature type.<br>{T}: Add {C}.<br>{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.|Ultimate Box Toppers|Special|Richard Wright|32|As Cavern of Souls enters the battlefield, choose a creature type.<br>{T}: Add {C}.<br>{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.|
457137|Celestial Colonnade||Land|||Celestial Colonnade enters the battlefield tapped.<br>{T}: Add {W} or {U}.<br>{3}{W}{U}: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.|Ultimate Box Toppers|Special|Eric Deschamps|33|Celestial Colonnade enters the battlefield tapped.<br>{T}: Add {W} or {U}.<br>{3}{W}{U}: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.|
457138|Creeping Tar Pit||Land|||Creeping Tar Pit enters the battlefield tapped.<br>{T}: Add {U} or {B}.<br>{1}{U}{B}: Creeping Tar Pit becomes a 3/2 blue and black Elemental creature until end of turn and can't be blocked this turn. It's still a land.|Ultimate Box Toppers|Special|Jason Felix|34|Creeping Tar Pit enters the battlefield tapped.<br>{T}: Add {U} or {B}.<br>{1}{U}{B}: Creeping Tar Pit becomes a 3/2 blue and black Elemental creature until end of turn and can't be blocked this turn. It's still a land.|
457139|Dark Depths||Legendary Snow Land|||Dark Depths enters the battlefield with ten ice counters on it.<br>{3}: Remove an ice counter from Dark Depths.<br>When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible.|Ultimate Box Toppers|Special|Mathias Kollros|35|Dark Depths enters the battlefield with ten ice counters on it.<br>{3}: Remove an ice counter from Dark Depths.<br>When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible.|
457112|Demonic Tutor|{1}{B}|Sorcery|||Search your library for a card, put that card into your hand, then shuffle your library.|Ultimate Box Toppers|Special|Zack Stella|8|Search your library for a card, put that card into your hand, then shuffle your library.|
457105|Emrakul, the Aeons Torn|{15}|Legendary Creature - Eldrazi|15|15|This spell can't be countered.<br>When you cast this spell, take an extra turn after this one.<br>Flying, protection from colored spells, annihilator 6<br>When Emrakul, the Aeons Torn is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|Ultimate Box Toppers|Special|Mark Tedin|1|This spell can't be countered.<br>When you cast this spell, take an extra turn after this one.<br>Flying, protection from colored spells, annihilator 6<br>When Emrakul, the Aeons Torn is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|
457132|Engineered Explosives|{X}|Artifact|||Sunburst <i>(This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)</i><br>{2}, Sacrifice Engineered Explosives: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Engineered Explosives.|Ultimate Box Toppers|Special|Lars Grant-West|28|Sunburst <i>(This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)</i><br>{2}, Sacrifice Engineered Explosives: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Engineered Explosives.|
457120|Eternal Witness|{1}{G}{G}|Creature - Human Shaman|2|1|When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand.|Ultimate Box Toppers|Special|Chris Rahn|16|When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand.|
457130|Fulminator Mage|{1}{B/R}{B/R}|Creature - Elemental Shaman|2|2|Sacrifice Fulminator Mage: Destroy target nonbasic land.|Ultimate Box Toppers|Special|Lucas Graciano|26|Sacrifice Fulminator Mage: Destroy target nonbasic land.|
457125|Gaddock Teeg|{G}{W}|Legendary Creature - Kithkin Advisor|2|2|Noncreature spells with converted mana cost 4 or greater can't be cast.<br>Noncreature spells with {X} in their mana costs can't be cast.|Ultimate Box Toppers|Special|Greg Staples|21|Noncreature spells with converted mana cost 4 or greater can't be cast.<br>Noncreature spells with {X} in their mana costs can't be cast.|
457113|Goryo's Vengeance|{1}{B}|Instant - Arcane|||Return target legendary creature card from your graveyard to the battlefield. That creature gains haste. Exile it at the beginning of the next end step.<br>Splice onto Arcane {2}{B} <i>(As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)</i>|Ultimate Box Toppers|Special|Randy Vargas|9|Return target legendary creature card from your graveyard to the battlefield. That creature gains haste. Exile it at the beginning of the next end step.<br>Splice onto Arcane {2}{B} <i>(As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)</i>|
457140|Karakas||Legendary Land|||{T}: Add {W}.<br>{T}: Return target legendary creature to its owner's hand.|Ultimate Box Toppers|Special|Drew Baker|36|{T}: Add {W}.<br>{T}: Return target legendary creature to its owner's hand.|
457106|Karn Liberated|{7}|Legendary Planeswalker - Karn||6|+4: Target player exiles a card from their hand.<br>−3: Exile target permanent.<br>−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.|Ultimate Box Toppers|Special|Jason Chan|2|+4: Target player exiles a card from their hand.<br>−3: Exile target permanent.<br>−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.|
457131|Kitchen Finks|{1}{G/W}{G/W}|Creature - Ouphe|3|2|When Kitchen Finks enters the battlefield, you gain 2 life.<br>Persist <i>(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)</i>|Ultimate Box Toppers|Special|Kev Walker|27|When Kitchen Finks enters the battlefield, you gain 2 life.<br>Persist <i>(When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)</i>|
457107|Kozilek, Butcher of Truth|{10}|Legendary Creature - Eldrazi|12|12|When you cast this spell, draw four cards.<br>Annihilator 4 <i>(Whenever this creature attacks, defending player sacrifices four permanents.)</i><br>When Kozilek, Butcher of Truth is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|Ultimate Box Toppers|Special|Michael Komarck|3|When you cast this spell, draw four cards.<br>Annihilator 4 <i>(Whenever this creature attacks, defending player sacrifices four permanents.)</i><br>When Kozilek, Butcher of Truth is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.|
457141|Lavaclaw Reaches||Land|||Lavaclaw Reaches enters the battlefield tapped.<br>{T}: Add {B} or {R}.<br>{1}{B}{R}: Until end of turn, Lavaclaw Reaches becomes a 2/2 black and red Elemental creature with "{X}: This creature gets +X/+0 until end of turn." It's still a land.|Ultimate Box Toppers|Special|Véronique Meignaud|37|Lavaclaw Reaches enters the battlefield tapped.<br>{T}: Add {B} or {R}.<br>{1}{B}{R}: Until end of turn, Lavaclaw Reaches becomes a 2/2 black and red Elemental creature with "{X}: This creature gets +X/+0 until end of turn." It's still a land.|
457126|Leovold, Emissary of Trest|{B}{G}{U}|Legendary Creature - Elf Advisor|3|3|Each opponent can't draw more than one card each turn.<br>Whenever you or a permanent you control becomes the target of a spell or ability an opponent controls, you may draw a card.|Ultimate Box Toppers|Special|Magali Villeneuve|22|Each opponent can't draw more than one card each turn.<br>Whenever you or a permanent you control becomes the target of a spell or ability an opponent controls, you may draw a card.|
457121|Life from the Loam|{1}{G}|Sorcery|||Return up to three target land cards from your graveyard to your hand.<br>Dredge 3 <i>(If you would draw a card, instead you may put exactly three cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|Ultimate Box Toppers|Special|Sung Choi|17|Return up to three target land cards from your graveyard to your hand.<br>Dredge 3 <i>(If you would draw a card, instead you may put exactly three cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|
457114|Liliana of the Veil|{1}{B}{B}|Legendary Planeswalker - Liliana||3|+1: Each player discards a card.<br>−2: Target player sacrifices a creature.<br>−6: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.|Ultimate Box Toppers|Special|Steve Argyle|10|+1: Each player discards a card.<br>−2: Target player sacrifices a creature.<br>−6: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.|
457127|Lord of Extinction|{3}{B}{G}|Creature - Elemental|*|*|Lord of Extinction's power and toughness are each equal to the number of cards in all graveyards.|Ultimate Box Toppers|Special|Izzy|23|Lord of Extinction's power and toughness are each equal to the number of cards in all graveyards.|
457128|Maelstrom Pulse|{1}{B}{G}|Sorcery|||Destroy target nonland permanent and all other permanents with the same name as that permanent.|Ultimate Box Toppers|Special|John Avon|24|Destroy target nonland permanent and all other permanents with the same name as that permanent.|
457133|Mana Vault|{1}|Artifact|||Mana Vault doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.<br>At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.<br>{T}: Add {C}{C}{C}.|Ultimate Box Toppers|Special|Christine Choi|29|Mana Vault doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.<br>At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.<br>{T}: Add {C}{C}{C}.|
457115|Mikaeus, the Unhallowed|{3}{B}{B}{B}|Legendary Creature - Zombie Cleric|5|5|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br>Whenever a Human deals damage to you, destroy it.<br>Other non-Human creatures you control get +1/+1 and have undying. <i>(When a creature with undying dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)</i>|Ultimate Box Toppers|Special|Chris Rahn|11|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br>Whenever a Human deals damage to you, destroy it.<br>Other non-Human creatures you control get +1/+1 and have undying. <i>(When a creature with undying dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)</i>|
457122|Noble Hierarch|{G}|Creature - Human Druid|0|1|Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>{T}: Add {G}, {W}, or {U}.|Ultimate Box Toppers|Special|Mark Zug|18|Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>{T}: Add {G}, {W}, or {U}.|
