ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
73934|Six-y Beast|{3}{R}|Creature- Beast|0|0|As Six-y Beast comes into play, you secretly put six or fewer +1/+1 counters on it, then an opponent guesses the number of counters. If that player guesses right, sacrifice Six-y Beast.|Unhinged|Uncommon|Anson Maddocks|89|As Six-y Beast comes into play, you secretly put six or fewer +1/+1 counters on it, then an opponent guesses the number of counters. If that player guesses right, sacrifice Six-y Beast.|
73935|"Ach! Hans, Run!"|{2}{R}{R}{G}{G}|Enchantment|||At the beginning of your upkeep, you may say "Ach Hans, run It's the . . ." and name a creature card. If you do, search your library for the named card, put it into play, then shuffle your library. That creature has haste. Remove it from the game at end of turn.|Unhinged|Rare|Quinton Hoover|116|At the beginning of your upkeep, you may say "Ach Hans, run It's the . . ." and name a creature card. If you do, search your library for the named card, put it into play, then shuffle your library. That creature has haste. Remove it from the game at end of turn.|
73936|Eye to Eye|{2}{B}|Instant|||You and target creature's controller have a staring contest. If you win, destroy that creature.|Unhinged|Uncommon|Michael Sutfin|54|You and target creature's controller have a staring contest. If you win, destroy that creature.|
73937|Atinlay Igpay|{5}{W}|Eaturecray- Igpay|3|3|Oubleday ikestray<br>Eneverwhay Atinlay Igpay's ontrollercay eaksspay ay onnay-Igpay-Atinlay ordway, acrificesay Atinlay Igpay.|Unhinged|Uncommon|Evkay Alkerway|1|Oubleday ikestray<br>Eneverwhay Atinlay Igpay's ontrollercay eaksspay ay onnay-Igpay-Atinlay ordway, acrificesay Atinlay Igpay.|
73938|B-I-N-G-O|{1}{G}|Creature- Hound|1|1|Trample<br>Whenever a player plays a spell, put a chip counter on its converted mana cost.  <br>B-I-N-G-O gets +9/+9 for each set of three numbers in a row with chip counters on them.|Unhinged|Rare|Ron Spencer|92|Trample<br>Whenever a player plays a spell, put a chip counter on its converted mana cost.  <br>B-I-N-G-O gets +9/+9 for each set of three numbers in a row with chip counters on them.|
73939|Booster Tutor|{B}|Instant|||Open a sealed Magic booster pack, reveal the cards, and put one of those cards into your hand. <i>(Remove that card from your deck before beginning a new game.)</i>|Unhinged|Uncommon|Christopher Rush|51|Open a sealed Magic booster pack, reveal the cards, and put one of those cards into your hand. <i>(Remove that card from your deck before beginning a new game.)</i>|
73940|Circle of Protection: Art|{1}{W}|Enchantment|||As Circle of Protection: Art comes into play, choose an artist.<br>{1}{W}: The next time a source of your choice by the chosen artist would deal damage to you this turn, prevent that damage.<br>{1}{W}: Return Circle of Protection: Art to its owner's hand.|Unhinged|Common|Jim "Stop the Da Vinci Beatdown" Pavelec|6|As Circle of Protection: Art comes into play, choose an artist.<br>{1}{W}: The next time a source of your choice by the chosen artist would deal damage to you this turn, prevent that damage.<br>{1}{W}: Return Circle of Protection: Art to its owner's hand.|
73941|Frazzled Editor|{1}{R}|Creature- Human Bureaucrat|2|2|Protection from wordy <i>(Something is wordy if it has four or more lines of text in its text box.)</i>|Unhinged|Common|Jim Pavelec|77|Protection from wordy <i>(Something is wordy if it has four or more lines of text in its text box.)</i>|
73942|S.N.O.T.|{G}|Creature- Ooze|*{^2}|*{^2}|As S.N.O.T. comes into play, you may stick it onto another creature named S.N.O.T. in play. If you do, all those creatures form a single creature.<br>S.N.O.T.'s power and toughness are equal to the square of the number of S.N.O.T.s stuck together. <i>(One is a 1/1, two are a 4/4, three are a 9/9, and four are a 16/16.)</i>|Unhinged|Common|Cyril Van Der Haegen|111|As S.N.O.T. comes into play, you may stick it onto another creature named S.N.O.T. in play. If you do, all those creatures form a single creature.<br>S.N.O.T.'s power and toughness are equal to the square of the number of S.N.O.T.s stuck together. <i>(One is a 1/1, two are a 4/4, three are a 9/9, and four are a 16/16.)</i>|
73943|Duh|{B}|Instant|||Destroy target creature with reminder text. <i>(Reminder text is any italicized text in parentheses that explains rules you already know.)</i>|Unhinged|Common|Dave Dorman|52|Destroy target creature with reminder text. <i>(Reminder text is any italicized text in parentheses that explains rules you already know.)</i>|
