ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
10408|Retaliation|{2}{G}|Enchantment|||Creatures you control have "Whenever this creature becomes blocked by a creature, this creature gets +1/+1 until end of turn."|Urza's Saga|Uncommon|Tom Fleming|272|Creatures you control have "Whenever this creature becomes blocked by a creature, this creature gets +1/+1 until end of turn."|
10419|Remembrance|{3}{W}|Enchantment|||Whenever a nontoken creature you control dies, you may search your library for a card with the same name as that creature, reveal it, and put it into your hand. If you do, shuffle your library.|Urza's Saga|Rare|Val Mayerik|34|Whenever a nontoken creature you control dies, you may search your library for a card with the same name as that creature, reveal it, and put it into your hand. If you do, shuffle your library.|
10420|Annul|{U}|Instant|||Counter target artifact or enchantment spell.|Urza's Saga|Common|Greg Simanson|59|Counter target artifact or enchantment spell.|
10421|Energy Field|{1}{U}|Enchantment|||Prevent all damage that would be dealt to you by sources you don't control.<br>When a card is put into your graveyard from anywhere, sacrifice Energy Field.|Urza's Saga|Rare|John Matson|73|Prevent all damage that would be dealt to you by sources you don't control.<br>When a card is put into your graveyard from anywhere, sacrifice Energy Field.|
10422|Gaea's Cradle||Legendary Land|||{T}: Add {G} to your mana pool for each creature you control.|Urza's Saga|Rare|Mark Zug|321|{T}: Add {G} to your mana pool for each creature you control.|
10423|Time Spiral|{4}{U}{U}|Sorcery|||Exile Time Spiral. Each player shuffles his or her graveyard and hand into his or her library, then draws seven cards. You untap up to six lands.|Urza's Saga|Rare|Michael Sutfin|103|Exile Time Spiral. Each player shuffles his or her graveyard and hand into his or her library, then draws seven cards. You untap up to six lands.|
10425|Fiery Mantle|{1}{R}|Enchantment - Aura|||Enchant creature<br>{R}: Enchanted creature gets +1/+0 until end of turn.<br>When Fiery Mantle is put into a graveyard from the battlefield, return Fiery Mantle to its owner's hand.|Urza's Saga|Common|Bob Eggleton|186|Enchant creature<br>{R}: Enchanted creature gets +1/+0 until end of turn.<br>When Fiery Mantle is put into a graveyard from the battlefield, return Fiery Mantle to its owner's hand.|
10427|Diabolic Servitude|{3}{B}|Enchantment|||When Diabolic Servitude enters the battlefield, return target creature card from your graveyard to the battlefield.<br>When the creature put onto the battlefield with Diabolic Servitude dies, exile it and return Diabolic Servitude to its owner's hand.<br>When Diabolic Servitude leaves the battlefield, exile the creature put onto the battlefield with Diabolic Servitude.|Urza's Saga|Uncommon|Scott M. Fischer|130|When Diabolic Servitude enters the battlefield, return target creature card from your graveyard to the battlefield.<br>When the creature put onto the battlefield with Diabolic Servitude dies, exile it and return Diabolic Servitude to its owner's hand.<br>When Diabolic Servitude leaves the battlefield, exile the creature put onto the battlefield with Diabolic Servitude.|
10462|Lingering Mirage|{1}{U}|Enchantment - Aura|||Enchant land<br>Enchanted land is an Island.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Urza's Saga|Uncommon|Jerry Tiritilli|84|Enchant land<br>Enchanted land is an Island.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
10466|Meltdown|{X}{R}|Sorcery|||Destroy each artifact with converted mana cost X or less.|Urza's Saga|Uncommon|Donato Giancola|203|Destroy each artifact with converted mana cost X or less.|
