ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
439454|"Rumors of My Death . . ."|{2}{B}|Enchantment|||{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.|Unstable|Uncommon|Alex Konstad|65|{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.|
439556|Accessories to Murder||Artifact - Contraption|||Whenever you crank Accessories to Murder, target creature gets +X/+0 until end of turn, where X is the number of creatures you control.|Unstable|Uncommon|Ralph Horsley|167|Whenever you crank Accessories to Murder, target creature gets +X/+0 until end of turn, where X is the number of creatures you control.|
439390|Adorable Kitten|{W}|Host Creature - Cat|1|1|When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.|Unstable|Common|Andrea Radeck|1|When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.|
439391|Aerial Toastmaster|{3}{W}|Artifact Creature - Cyborg Rigger|3|2|Flying<br>{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. <i>(Put the top card of your Contraption deck face up onto one of your sprockets.)</i>|Unstable|Uncommon|Carl Critchlow|2|Flying<br>{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. <i>(Put the top card of your Contraption deck face up onto one of your sprockets.)</i>|
439614|Amateur Auteur|{1}{W}|Creature - Human|2|2|Sacrifice Amateur Auteur: Destroy target enchantment.|Unstable|Common|McLean Kendree|3|Sacrifice Amateur Auteur: Destroy target enchantment.|
439528|Angelic Rocket|{8}|Host Artifact Creature - Angel|4|4|Flying<br>When this creature enters the battlefield, you may destroy target nonland permanent.|Unstable|Rare|Carl Critchlow|139|Flying<br>When this creature enters the battlefield, you may destroy target nonland permanent.|
439415|Animate Library|{4}{U}{U}|Enchantment - Aura|||Enchant your library<br>Enchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library.<br>If enchanted library would leave the battlefield, exile Animate Library instead.|Unstable|Rare|Raymond Swanland|26|Enchant your library<br>Enchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library.<br>If enchanted library would leave the battlefield, exile Animate Library instead.|
439557|Applied Aeronautics||Artifact - Contraption|||Whenever you crank Applied Aeronautics, until end of turn, target creature gets +1/+0, gains flying, and becomes an artifact in addition to its other types.|Unstable|Common|Jason Felix|168|Whenever you crank Applied Aeronautics, until end of turn, target creature gets +1/+0, gains flying, and becomes an artifact in addition to its other types.|
439558|Arms Depot||Artifact - Contraption|||Whenever you crank Arms Depot, put two +1/+1 counters on target creature.|Unstable|Uncommon|Chuck Lukacs|169|Whenever you crank Arms Depot, put two +1/+1 counters on target creature.|
439491|As Luck Would Have It|{G}|Enchantment|||Hexproof<br>Whenever you roll a die, put a number of luck counters on As Luck Would Have It equal to the result. Then if there are 100 or more luck counters on As Luck Would Have It, you win the game. <i>(Count both rolls if you reroll a die.)</i>|Unstable|Rare|Milivoj Ćeran|102|Hexproof<br>Whenever you roll a die, put a number of luck counters on As Luck Would Have It equal to the result. Then if there are 100 or more luck counters on As Luck Would Have It, you win the game. <i>(Count both rolls if you reroll a die.)</i>|
