ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
386284|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|From the Vault: Annihilation (2014)|Mythic Rare|Chris Rahn|1|Destroy all lands.|
386285|Burning of Xinye|{4}{R}{R}|Sorcery|||You destroy four lands you control, then target opponent destroys four lands he or she controls. Then Burning of Xinye deals 4 damage to each creature.|From the Vault: Annihilation (2014)|Mythic Rare|Yang Hong|2|You destroy four lands you control, then target opponent destroys four lands he or she controls. Then Burning of Xinye deals 4 damage to each creature.|
386286|Cataclysm|{2}{W}{W}|Sorcery|||Each player chooses from the permanents he or she controls an artifact, a creature, an enchantment, and a land, then sacrifices the rest.|From the Vault: Annihilation (2014)|Mythic Rare|Eric Deschamps|3|Each player chooses from the permanents he or she controls an artifact, a creature, an enchantment, and a land, then sacrifices the rest.|
386287|Child of Alara|{W}{U}{B}{R}{G}|Legendary Creature - Avatar|6|6|Trample<br>When Child of Alara dies, destroy all nonland permanents. They can't be regenerated.|From the Vault: Annihilation (2014)|Mythic Rare|Steve Argyle|4|Trample<br>When Child of Alara dies, destroy all nonland permanents. They can't be regenerated.|
386288|Decree of Annihilation|{8}{R}{R}|Sorcery|||Exile all artifacts, creatures, and lands from the battlefield, all cards from all graveyards, and all cards from all hands.<br>Cycling {5}{R}{R} <i>({5}{R}{R}, Discard this card: Draw a card.)</i><br>When you cycle Decree of Annihilation, destroy all lands.|From the Vault: Annihilation (2014)|Mythic Rare|John Avon|5|Exile all artifacts, creatures, and lands from the battlefield, all cards from all graveyards, and all cards from all hands.<br>Cycling {5}{R}{R} <i>({5}{R}{R}, Discard this card: Draw a card.)</i><br>When you cycle Decree of Annihilation, destroy all lands.|
386289|Firespout|{2}{R/G}|Sorcery|||Firespout deals 3 damage to each creature without flying if {R} was spent to cast Firespout and 3 damage to each creature with flying if {G} was spent to cast it. <i>(Do both if {R}{G} was spent.)</i>|From the Vault: Annihilation (2014)|Mythic Rare|Raymond Swanland|6|Firespout deals 3 damage to each creature without flying if {R} was spent to cast Firespout and 3 damage to each creature with flying if {G} was spent to cast it. <i>(Do both if {R}{G} was spent.)</i>|
386290|Fracturing Gust|{2}{G/W}{G/W}{G/W}|Instant|||Destroy all artifacts and enchantments. You gain 2 life for each permanent destroyed this way.|From the Vault: Annihilation (2014)|Mythic Rare|Michael Sutfin|7|Destroy all artifacts and enchantments. You gain 2 life for each permanent destroyed this way.|
386291|Living Death|{3}{B}{B}|Sorcery|||Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.|From the Vault: Annihilation (2014)|Mythic Rare|Mark Winters|8|Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.|
386292|Martial Coup|{X}{W}{W}|Sorcery|||Put X 1/1 white Soldier creature tokens onto the battlefield. If X is 5 or more, destroy all other creatures.|From the Vault: Annihilation (2014)|Mythic Rare|Greg Staples|9|Put X 1/1 white Soldier creature tokens onto the battlefield. If X is 5 or more, destroy all other creatures.|
386293|Rolling Earthquake|{X}{R}|Sorcery|||Rolling Earthquake deals X damage to each creature without horsemanship and each player.|From the Vault: Annihilation (2014)|Mythic Rare|Yang Hong|10|Rolling Earthquake deals X damage to each creature without horsemanship and each player.|
386294|Smokestack|{4}|Artifact|||At the beginning of your upkeep, you may put a soot counter on Smokestack.<br>At the beginning of each player's upkeep, that player sacrifices a permanent for each soot counter on Smokestack.|From the Vault: Annihilation (2014)|Mythic Rare|Daniel Ljunggren|11|At the beginning of your upkeep, you may put a soot counter on Smokestack.<br>At the beginning of each player's upkeep, that player sacrifices a permanent for each soot counter on Smokestack.|
386295|Terminus|{4}{W}{W}|Sorcery|||Put all creatures on the bottom of their owners' libraries.<br>Miracle {W} <i>(You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)</i>|From the Vault: Annihilation (2014)|Mythic Rare|James Paick|12|Put all creatures on the bottom of their owners' libraries.<br>Miracle {W} <i>(You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)</i>|
386296|Upheaval|{4}{U}{U}|Sorcery|||Return all permanents to their owners' hands.|From the Vault: Annihilation (2014)|Mythic Rare|Kev Walker|13|Return all permanents to their owners' hands.|
386297|Virtue's Ruin|{2}{B}|Sorcery|||Destroy all white creatures.|From the Vault: Annihilation (2014)|Mythic Rare|Mike Dringenberg|14|Destroy all white creatures.|
386298|Wrath of God|{2}{W}{W}|Sorcery|||Destroy all creatures. They can't be regenerated.|From the Vault: Annihilation (2014)|Mythic Rare|Willian Murai|15|Destroy all creatures. They can't be regenerated.|
