ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
182290|Akroma, Angel of Wrath Avatar||Vanguard|||Whenever a creature enters the battlefield under your control, it gains two abilities chosen at random from flying, first strike, trample, haste, protection from black, protection from red, and vigilance.|Vanguard|Special|UDON|33|Whenever a creature enters the battlefield under your control, it gains two abilities chosen at random from flying, first strike, trample, haste, protection from black, protection from red, and vigilance.|
182263|Arcanis, the Omnipotent Avatar||Vanguard|||{X}, Return a creature you control with converted mana cost X to its owner's hand: Draw a number of cards chosen at random between 0 and X. X can't be 0.|Vanguard|Special|UDON|70|{X}, Return a creature you control with converted mana cost X to its owner's hand: Draw a number of cards chosen at random between 0 and X. X can't be 0.|
182296|Arcbound Overseer Avatar||Vanguard|||At the beginning of your upkeep, you may put a +1/+1 counter on target creature you control.<br>At the beginning of your upkeep, you may put a charge counter on target permanent you control.|Vanguard|Special|UDON|42|At the beginning of your upkeep, you may put a +1/+1 counter on target creature you control.<br>At the beginning of your upkeep, you may put a charge counter on target permanent you control.|
182283|Ashling the Pilgrim Avatar||Vanguard|||{2}: Ashling the Pilgrim Avatar deals 1 damage to each creature and each player.|Vanguard|Special|UDON|73|{2}: Ashling the Pilgrim Avatar deals 1 damage to each creature and each player.|
191134|Ashling, the Extinguisher Avatar||Vanguard|||{5}: Destroy all nonland permanents. Activate this ability only once and only during your turn.|Vanguard|Special|UDON|81|{5}: Destroy all nonland permanents. Activate this ability only once and only during your turn.|
12329|Ashnod||Vanguard|||Whenever a creature deals damage to you, destroy it.|Vanguard|Special|Ron Spencer|6|Whenever a creature deals damage to you, destroy it.|
4957|Barrin||Vanguard|||Sacrifice a permanent: Return target creature to its owner's hand.|Vanguard|Special|Christopher Rush|7|Sacrifice a permanent: Return target creature to its owner's hand.|
214824|Birds of Paradise Avatar||Vanguard|||Lands you control have "{T}: Add one mana of any color to your mana pool."|Vanguard|Special|UDON|107|Lands you control have "{T}: Add one mana of any color to your mana pool."|
182291|Birds of Paradise Avatar||Vanguard|||Lands you control have "{T}: Add one mana of any color to your mana pool."|Vanguard|Special|UDON|8|Lands you control have "{T}: Add one mana of any color to your mana pool."|
182269|Bosh, Iron Golem Avatar||Vanguard|||{X}, Sacrifice an artifact with converted mana cost X: Bosh, Iron Golem Avatar deals X damage to target creature or player.|Vanguard|Special|UDON|39|{X}, Sacrifice an artifact with converted mana cost X: Bosh, Iron Golem Avatar deals X damage to target creature or player.|
