ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
382835|Academy Elite|{3}{U}|Creature - Human Wizard|0|0|Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.<br>{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.|Vintage Masters|Rare|Volkan Baga|55|Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.<br>{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.|
382836|Addle|{1}{B}|Sorcery|||Choose a color. Target player reveals his or her hand and you choose a card of that color from it. That player discards that card.|Vintage Masters|Common|Ron Spears|103|Choose a color. Target player reveals his or her hand and you choose a card of that color from it. That player discards that card.|
382837|Æther Mutation|{3}{G}{U}|Sorcery|||Return target creature to its owner's hand. Put X 1/1 green Saproling creature tokens onto the battlefield, where X is that creature's converted mana cost.|Vintage Masters|Uncommon|Ron Spencer|241|Return target creature to its owner's hand. Put X 1/1 green Saproling creature tokens onto the battlefield, where X is that creature's converted mana cost.|
382838|Afterlife|{2}{W}|Instant|||Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.|Vintage Masters|Common|Brian Snoddy|10|Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.|
382839|Aftershock|{2}{R}{R}|Sorcery|||Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.|Vintage Masters|Common|Hannibal King|149|Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.|
382840|Akroma's Blessing|{2}{W}|Instant|||Choose a color. Creatures you control gain protection from the chosen color until end of turn.<br>Cycling {W} <i>({W}, Discard this card: Draw a card.)</i>|Vintage Masters|Uncommon|Adam Rex|11|Choose a color. Creatures you control gain protection from the chosen color until end of turn.<br>Cycling {W} <i>({W}, Discard this card: Draw a card.)</i>|
382841|Ancestral Recall|{U}|Instant|||Target player draws three cards.|Vintage Masters|Bonus|Ryan Pancoast|1|Target player draws three cards.|
382842|Ancient Tomb||Land|||{T}: Add {2} to your mana pool. Ancient Tomb deals 2 damage to you.|Vintage Masters|Rare|Colin MacNeil|289|{T}: Add {2} to your mana pool. Ancient Tomb deals 2 damage to you.|
382843|Animate Dead|{1}{B}|Enchantment - Aura|||Enchant creature card in a graveyard<br>When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.|Vintage Masters|Uncommon|Anthony Jones|104|Enchant creature card in a graveyard<br>When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.|
382844|Ankh of Mishra|{2}|Artifact|||Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.|Vintage Masters|Rare|Ian Miller|263|Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.|
382845|Aquamoeba|{1}{U}|Creature - Elemental Beast|1|3|Discard a card: Switch Aquamoeba's power and toughness until end of turn.|Vintage Masters|Common|Arnie Swekel|56|Discard a card: Switch Aquamoeba's power and toughness until end of turn.|
382846|Armadillo Cloak|{1}{G}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 and has trample.<br>Whenever enchanted creature deals damage, you gain that much life.|Vintage Masters|Uncommon|Wayne Reynolds|242|Enchant creature<br>Enchanted creature gets +2/+2 and has trample.<br>Whenever enchanted creature deals damage, you gain that much life.|
382847|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|Vintage Masters|Mythic Rare|John Avon|12|Destroy all lands.|
382848|Armor of Thorns|{1}{G}|Enchantment - Aura|||You may cast Armor of Thorns as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.<br>Enchant nonblack creature<br>Enchanted creature gets +2/+2.|Vintage Masters|Common|Alan Rabinowitz|194|You may cast Armor of Thorns as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.<br>Enchant nonblack creature<br>Enchanted creature gets +2/+2.|
