ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
429896|Air Elemental|{3}{U}{U}|Creature - Elemental|4|4|Flying|Welcome Deck 2017|Uncommon|Kev Walker|7|Flying|
429904|Bloodhunter Bat|{3}{B}|Creature - Bat|2|2|Flying<br>When Bloodhunter Bat enters the battlefield, target player loses 2 life and you gain 2 life.|Welcome Deck 2017|Common|Tomasz Jedruszek|15|Flying<br>When Bloodhunter Bat enters the battlefield, target player loses 2 life and you gain 2 life.|
429905|Certain Death|{5}{B}|Sorcery|||Destroy target creature. Its controller loses 2 life and you gain 2 life.|Welcome Deck 2017|Common|Kev Walker|16|Destroy target creature. Its controller loses 2 life and you gain 2 life.|
429897|Coral Merfolk|{1}{U}|Creature - Merfolk|2|1||Welcome Deck 2017|Common|rk post|8||
429890|Divine Verdict|{3}{W}|Instant|||Destroy target attacking or blocking creature.|Welcome Deck 2017|Common|Kev Walker|1|Destroy target attacking or blocking creature.|
429898|Drag Under|{2}{U}|Sorcery|||Return target creature to its owner's hand.<br>Draw a card.|Welcome Deck 2017|Common|Tianhua X|9|Return target creature to its owner's hand.<br>Draw a card.|
429910|Falkenrath Reaver|{1}{R}|Creature - Vampire|2|2||Welcome Deck 2017|Common|Daarken|21||
429913|Garruk's Horde|{5}{G}{G}|Creature - Beast|7|7|Trample<br>Play with the top card of your library revealed.<br>You may cast the top card of your library if it's a creature card. <i>(Do this only any time you could cast that creature card. You still pay the spell's costs.)</i>|Welcome Deck 2017|Rare|Steve Prescott|24|Trample<br>Play with the top card of your library revealed.<br>You may cast the top card of your library if it's a creature card. <i>(Do this only any time you could cast that creature card. You still pay the spell's costs.)</i>|
429891|Glory Seeker|{1}{W}|Creature - Human Soldier|2|2||Welcome Deck 2017|Common|Matt Cavotta|2||
429899|Inspiration|{3}{U}|Instant|||Target player draws two cards.|Welcome Deck 2017|Common|Izzy|10|Target player draws two cards.|
429906|Nightmare|{5}{B}|Creature - Nightmare Horse|*|*|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>Nightmare's power and toughness are each equal to the number of Swamps you control.|Welcome Deck 2017|Rare|Vance Kovacs|17|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>Nightmare's power and toughness are each equal to the number of Swamps you control.|
429914|Oakenform|{2}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3.|Welcome Deck 2017|Common|Wayne Reynolds|25|Enchant creature<br>Enchanted creature gets +3/+3.|
429915|Rabid Bite|{1}{G}|Sorcery|||Target creature you control deals damage equal to its power to target creature you don't control.|Welcome Deck 2017|Common|Karl Kopinski|26|Target creature you control deals damage equal to its power to target creature you don't control.|
