ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
197869|Abyssal Persecutor|{2}{B}{B}|Creature - Demon|6|6|Flying, trample<br>You can't win the game and your opponents can't lose the game.|Worldwake|Mythic Rare|Chippy|47|Flying, trample<br>You can't win the game and your opponents can't lose the game.|
197160|Admonition Angel|{3}{W}{W}{W}|Creature - Angel|6|6|Flying<br>Landfall- Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.<br>When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.|Worldwake|Mythic Rare|Steve Argyle|1|Flying<br>Landfall- Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.<br>When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.|
201568|Æther Tradewinds|{2}{U}|Instant|||Return target permanent you control and target permanent you don't control to their owners' hands.|Worldwake|Common|Kieran Yanner|24|Return target permanent you control and target permanent you don't control to their owners' hands.|
198402|Agadeem Occultist|{2}{B}|Creature - Human Shaman Ally|0|2|{T}: Put target creature card from an opponent's graveyard onto the battlefield under your control if its converted mana cost is less than or equal to the number of Allies you control.|Worldwake|Rare|Vance Kovacs|48|{T}: Put target creature card from an opponent's graveyard onto the battlefield under your control if its converted mana cost is less than or equal to the number of Allies you control.|
198360|Akoum Battlesinger|{1}{R}|Creature - Human Berserker Ally|1|1|Haste<br>Whenever Akoum Battlesinger or another Ally enters the battlefield under your control, you may have Ally creatures you control get +1/+0 until end of turn.|Worldwake|Common|Adi Granov|71|Haste<br>Whenever Akoum Battlesinger or another Ally enters the battlefield under your control, you may have Ally creatures you control get +1/+0 until end of turn.|
191577|Amulet of Vigor|{1}|Artifact|||Whenever a permanent enters the battlefield tapped and under your control, untap it.|Worldwake|Rare|Warren Mahy|121|Whenever a permanent enters the battlefield tapped and under your control, untap it.|
177508|Anowon, the Ruin Sage|{3}{B}{B}|Legendary Creature - Vampire Shaman|4|3|At the beginning of your upkeep, each player sacrifices a non-Vampire creature.|Worldwake|Rare|Dan Scott|49|At the beginning of your upkeep, each player sacrifices a non-Vampire creature.|
197769|Apex Hawks|{2}{W}|Creature - Bird|2|2|Multikicker {1}{W} <i>(You may pay an additional {1}{W} any number of times as you cast this spell.)</i><br>Flying<br>Apex Hawks enters the battlefield with a +1/+1 counter on it for each time it was kicked.|Worldwake|Common|David Palumbo|2|Multikicker {1}{W} <i>(You may pay an additional {1}{W} any number of times as you cast this spell.)</i><br>Flying<br>Apex Hawks enters the battlefield with a +1/+1 counter on it for each time it was kicked.|
197959|Arbor Elf|{G}|Creature - Elf Druid|1|1|{T}: Untap target Forest.|Worldwake|Common|rk post|95|{T}: Untap target Forest.|
201575|Archon of Redemption|{3}{W}{W}|Creature - Archon|3|4|Flying<br>Whenever Archon of Redemption or another creature with flying enters the battlefield under your control, you may gain life equal to that creature's power.|Worldwake|Rare|Steven Belledin|3|Flying<br>Whenever Archon of Redemption or another creature with flying enters the battlefield under your control, you may gain life equal to that creature's power.|
