ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
178135|Adventuring Gear|{1}|Artifact - Equipment|||Landfall- Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|Zendikar|Common|Howard Lyon|195|Landfall- Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|
170993|Æther Figment|{1}{U}|Creature - Illusion|1|1|Kicker {3} <i>(You may pay an additional {3} as you cast this spell.)</i><br>Æther Figment is unblockable.<br>If Æther Figment was kicked, it enters the battlefield with two +1/+1 counters on it.|Zendikar|Uncommon|Thomas M. Baxa|40|Kicker {3} <i>(You may pay an additional {3} as you cast this spell.)</i><br>Æther Figment is unblockable.<br>If Æther Figment was kicked, it enters the battlefield with two +1/+1 counters on it.|
189638|Akoum Refuge||Land|||Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|Zendikar|Uncommon|Fred Fields|210|Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|
197538|Archive Trap|{3}{U}{U}|Instant - Trap|||If an opponent searched his or her library this turn, you may pay {0} rather than pay Archive Trap's mana cost.<br>Target opponent puts the top thirteen cards of his or her library into his or her graveyard.|Zendikar|Rare|Jason Felix|41|If an opponent searched his or her library this turn, you may pay {0} rather than pay Archive Trap's mana cost.<br>Target opponent puts the top thirteen cards of his or her library into his or her graveyard.|
197893|Archmage Ascension|{2}{U}|Enchantment|||At the beginning of each end step, if you drew two or more cards this turn, you may put a quest counter on Archmage Ascension.<br>As long as Archmage Ascension has six or more quest counters on it, if you would draw a card, you may instead search your library for a card, put that card into your hand, then shuffle your library.|Zendikar|Rare|Christopher Moeller|42|At the beginning of each end step, if you drew two or more cards this turn, you may put a quest counter on Archmage Ascension.<br>As long as Archmage Ascension has six or more quest counters on it, if you would draw a card, you may instead search your library for a card, put that card into your hand, then shuffle your library.|
177584|Arid Mesa||Land|||{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.|Zendikar|Rare|Raymond Swanland|211|{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.|
190420|Armament Master|{W}{W}|Creature - Kor Soldier|2|2|Other Kor creatures you control get +2/+2 for each Equipment attached to Armament Master.|Zendikar|Rare|Steven Belledin|1|Other Kor creatures you control get +2/+2 for each Equipment attached to Armament Master.|
193404|Arrow Volley Trap|{3}{W}{W}|Instant - Trap|||If four or more creatures are attacking, you may pay {1}{W} rather than pay Arrow Volley Trap's mana cost.<br>Arrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.|Zendikar|Uncommon|Steve Argyle|2|If four or more creatures are attacking, you may pay {1}{W} rather than pay Arrow Volley Trap's mana cost.<br>Arrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.|
197402|Bala Ged Thief|{3}{B}|Creature - Human Rogue Ally|2|2|Whenever Bala Ged Thief or another Ally enters the battlefield under your control, target player reveals a number of cards from his or her hand equal to the number of Allies you control. You choose one of them. That player discards that card.|Zendikar|Rare|Matt Cavotta|79|Whenever Bala Ged Thief or another Ally enters the battlefield under your control, target player reveals a number of cards from his or her hand equal to the number of Allies you control. You choose one of them. That player discards that card.|
197531|Baloth Cage Trap|{3}{G}{G}|Instant - Trap|||If an opponent had an artifact enter the battlefield under his or her control this turn, you may pay {1}{G} rather than pay Baloth Cage Trap's mana cost.<br>Put a 4/4 green Beast creature token onto the battlefield.|Zendikar|Uncommon|Austin Hsu|156|If an opponent had an artifact enter the battlefield under his or her control this turn, you may pay {1}{G} rather than pay Baloth Cage Trap's mana cost.<br>Put a 4/4 green Beast creature token onto the battlefield.|
192231|Baloth Woodcrasher|{4}{G}{G}|Creature - Beast|4|4|Landfall- Whenever a land enters the battlefield under your control, Baloth Woodcrasher gets +4/+4 and gains trample until end of turn.|Zendikar|Uncommon|Zoltan Boros & Gabor Szikszai|157|Landfall- Whenever a land enters the battlefield under your control, Baloth Woodcrasher gets +4/+4 and gains trample until end of turn.|
185703|Beast Hunt|{3}{G}|Sorcery|||Reveal the top three cards of your library. Put all creature cards revealed this way into your hand and the rest into your graveyard.|Zendikar|Common|Kieran Yanner|158|Reveal the top three cards of your library. Put all creature cards revealed this way into your hand and the rest into your graveyard.|
197890|Beastmaster Ascension|{2}{G}|Enchantment|||Whenever a creature you control attacks, you may put a quest counter on Beastmaster Ascension.<br>As long as Beastmaster Ascension has seven or more quest counters on it, creatures you control get +5/+5.|Zendikar|Rare|Alex Horley-Orlandelli|159|Whenever a creature you control attacks, you may put a quest counter on Beastmaster Ascension.<br>As long as Beastmaster Ascension has seven or more quest counters on it, creatures you control get +5/+5.|
193397|Blade of the Bloodchief|{1}|Artifact - Equipment|||Whenever a creature dies, put a +1/+1 counter on equipped creature. If equipped creature is a Vampire, put two +1/+1 counters on it instead.<br>Equip {1}|Zendikar|Rare|Jung Park|196|Whenever a creature dies, put a +1/+1 counter on equipped creature. If equipped creature is a Vampire, put two +1/+1 counters on it instead.<br>Equip {1}|
180350|Bladetusk Boar|{3}{R}|Creature - Boar|3|2|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>|Zendikar|Common|Paul Bonner|118|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>|
191372|Blazing Torch|{1}|Artifact - Equipment|||Equipped creature can't be blocked by Vampires or Zombies.<br>Equipped creature has "{T}, Sacrifice Blazing Torch: Blazing Torch deals 2 damage to target creature or player."<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|Zendikar|Uncommon|Vance Kovacs|197|Equipped creature can't be blocked by Vampires or Zombies.<br>Equipped creature has "{T}, Sacrifice Blazing Torch: Blazing Torch deals 2 damage to target creature or player."<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|
180362|Blood Seeker|{1}{B}|Creature - Vampire Shaman|1|1|Whenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life.|Zendikar|Common|Greg Staples|80|Whenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life.|
170995|Blood Tribute|{4}{B}{B}|Sorcery|||Kicker—Tap an untapped Vampire you control. <i>(You may tap a Vampire you control in addition to any other costs as you cast this spell.)</i><br>Target opponent loses half his or her life, rounded up. If Blood Tribute was kicked, you gain life equal to the life lost this way.|Zendikar|Rare|Alex Horley-Orlandelli|81|Kicker—Tap an untapped Vampire you control. <i>(You may tap a Vampire you control in addition to any other costs as you cast this spell.)</i><br>Target opponent loses half his or her life, rounded up. If Blood Tribute was kicked, you gain life equal to the life lost this way.|
197892|Bloodchief Ascension|{B}|Enchantment|||At the beginning of each end step, if an opponent lost 2 or more life this turn, you may put a quest counter on Bloodchief Ascension. <i>(Damage causes loss of life.)</i><br>Whenever a card is put into an opponent's graveyard from anywhere, if Bloodchief Ascension has three or more quest counters on it, you may have that player lose 2 life. If you do, you gain 2 life.|Zendikar|Rare|Adi Granov|82|At the beginning of each end step, if an opponent lost 2 or more life this turn, you may put a quest counter on Bloodchief Ascension. <i>(Damage causes loss of life.)</i><br>Whenever a card is put into an opponent's graveyard from anywhere, if Bloodchief Ascension has three or more quest counters on it, you may have that player lose 2 life. If you do, you gain 2 life.|
192230|Bloodghast|{B}{B}|Creature - Vampire Spirit|2|1|Bloodghast can't block.<br>Bloodghast has haste as long as an opponent has 10 or less life.<br>Landfall- Whenever a land enters the battlefield under your control, you may return Bloodghast from your graveyard to the battlefield.|Zendikar|Rare|Daarken|83|Bloodghast can't block.<br>Bloodghast has haste as long as an opponent has 10 or less life.<br>Landfall- Whenever a land enters the battlefield under your control, you may return Bloodghast from your graveyard to the battlefield.|
177500|Bog Tatters|{4}{B}|Creature - Wraith|4|2|Swampwalk|Zendikar|Common|Daarken|84|Swampwalk|
180509|Bold Defense|{2}{W}|Instant|||Kicker {3}{W} <i>(You may pay an additional {3}{W} as you cast this spell.)</i><br>Creatures you control get +1/+1 until end of turn. If Bold Defense was kicked, instead creatures you control get +2/+2 and gain first strike until end of turn.|Zendikar|Common|Scott Chou|3|Kicker {3}{W} <i>(You may pay an additional {3}{W} as you cast this spell.)</i><br>Creatures you control get +1/+1 until end of turn. If Bold Defense was kicked, instead creatures you control get +2/+2 and gain first strike until end of turn.|
185734|Brave the Elements|{W}|Instant|||Choose a color. White creatures you control gain protection from the chosen color until end of turn.|Zendikar|Uncommon|Goran Josic|4|Choose a color. White creatures you control gain protection from the chosen color until end of turn.|
177558|Burst Lightning|{R}|Instant|||Kicker {4} <i>(You may pay an additional {4} as you cast this spell.)</i><br>Burst Lightning deals 2 damage to target creature or player. If Burst Lightning was kicked, it deals 4 damage to that creature or player instead.|Zendikar|Common|Vance Kovacs|119|Kicker {4} <i>(You may pay an additional {4} as you cast this spell.)</i><br>Burst Lightning deals 2 damage to target creature or player. If Burst Lightning was kicked, it deals 4 damage to that creature or player instead.|
183417|Caller of Gales|{U}|Creature - Merfolk Wizard|1|1|{1}{U}, {T}: Target creature gains flying until end of turn.|Zendikar|Common|Alex Horley-Orlandelli|43|{1}{U}, {T}: Target creature gains flying until end of turn.|
189001|Cancel|{1}{U}{U}|Instant|||Counter target spell.|Zendikar|Common|Scott Chou|44|Counter target spell.|
185697|Caravan Hurda|{4}{W}|Creature - Giant|1|5|Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>|Zendikar|Common|Dave Kendall|5|Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>|
193406|Carnage Altar|{2}|Artifact|||{3}, Sacrifice a creature: Draw a card.|Zendikar|Uncommon|James Paick|198|{3}, Sacrifice a creature: Draw a card.|
198524|Celestial Mantle|{3}{W}{W}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3.<br>Whenever enchanted creature deals combat damage to a player, double its controller's life total.|Zendikar|Rare|Steve Argyle|6|Enchant creature<br>Enchanted creature gets +3/+3.<br>Whenever enchanted creature deals combat damage to a player, double its controller's life total.|
195402|Chandra Ablaze|{4}{R}{R}|Planeswalker - Chandra||5|+1: Discard a card. If a red card is discarded this way, Chandra Ablaze deals 4 damage to target creature or player.<br>-2: Each player discards his or her hand, then draws three cards.<br>-7: Cast any number of red instant and/or sorcery cards from your graveyard without paying their mana costs.|Zendikar|Mythic Rare|Steve Argyle|120|+1: Discard a card. If a red card is discarded this way, Chandra Ablaze deals 4 damage to target creature or player.<br>-2: Each player discards his or her hand, then draws three cards.<br>-7: Cast any number of red instant and/or sorcery cards from your graveyard without paying their mana costs.|
177546|Cliff Threader|{1}{W}|Creature - Kor Scout|2|1|Mountainwalk|Zendikar|Common|Paul Bonner|7|Mountainwalk|
197535|Cobra Trap|{4}{G}{G}|Instant - Trap|||If a noncreature permanent under your control was destroyed this turn by a spell or ability an opponent controlled, you may pay {G} rather than pay Cobra Trap's mana cost.<br>Put four 1/1 green Snake creature tokens onto the battlefield.|Zendikar|Uncommon|Scott Chou|160|If a noncreature permanent under your control was destroyed this turn by a spell or ability an opponent controlled, you may pay {G} rather than pay Cobra Trap's mana cost.<br>Put four 1/1 green Snake creature tokens onto the battlefield.|
195626|Conqueror's Pledge|{2}{W}{W}{W}|Sorcery|||Kicker {6} <i>(You may pay an additional {6} as you cast this spell.)</i><br>Put six 1/1 white Kor Soldier creature tokens onto the battlefield. If Conqueror's Pledge was kicked, put twelve of those tokens onto the battlefield instead.|Zendikar|Rare|Kev Walker|8|Kicker {6} <i>(You may pay an additional {6} as you cast this spell.)</i><br>Put six 1/1 white Kor Soldier creature tokens onto the battlefield. If Conqueror's Pledge was kicked, put twelve of those tokens onto the battlefield instead.|
186322|Cosi's Trickster|{U}|Creature - Merfolk Wizard|1|1|Whenever an opponent shuffles his or her library, you may put a +1/+1 counter on Cosi's Trickster.|Zendikar|Rare|Igor Kieryluk|45|Whenever an opponent shuffles his or her library, you may put a +1/+1 counter on Cosi's Trickster.|
190394|Crypt of Agadeem||Land|||Crypt of Agadeem enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>{2}, {T}: Add {B} to your mana pool for each black creature card in your graveyard.|Zendikar|Rare|Jason Felix|212|Crypt of Agadeem enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>{2}, {T}: Add {B} to your mana pool for each black creature card in your graveyard.|
178121|Crypt Ripper|{2}{B}{B}|Creature - Shade|2|2|Haste<br>{B}: Crypt Ripper gets +1/+1 until end of turn.|Zendikar|Common|Dave Kendall|85|Haste<br>{B}: Crypt Ripper gets +1/+1 until end of turn.|
186309|Day of Judgment|{2}{W}{W}|Sorcery|||Destroy all creatures.|Zendikar|Rare|Vincent Proce|9|Destroy all creatures.|
190406|Demolish|{3}{R}|Sorcery|||Destroy target artifact or land.|Zendikar|Common|John Avon|121|Destroy target artifact or land.|
178137|Desecrated Earth|{4}{B}|Sorcery|||Destroy target land. Its controller discards a card.|Zendikar|Common|Daarken|86|Destroy target land. Its controller discards a card.|
191374|Devout Lightcaster|{W}{W}{W}|Creature - Kor Cleric|2|2|Protection from black<br>When Devout Lightcaster enters the battlefield, exile target black permanent.|Zendikar|Rare|Shelly Wan|10|Protection from black<br>When Devout Lightcaster enters the battlefield, exile target black permanent.|
180115|Disfigure|{B}|Instant|||Target creature gets -2/-2 until end of turn.|Zendikar|Common|Justin Sweet|87|Target creature gets -2/-2 until end of turn.|
193398|Eldrazi Monument|{5}|Artifact|||Creatures you control get +1/+1, have flying, and are indestructible.<br>At the beginning of your upkeep, sacrifice a creature. If you can't, sacrifice Eldrazi Monument.|Zendikar|Mythic Rare|Mark Tedin|199|Creatures you control get +1/+1, have flying, and are indestructible.<br>At the beginning of your upkeep, sacrifice a creature. If you can't, sacrifice Eldrazi Monument.|
191373|Electropotence|{2}{R}|Enchantment|||Whenever a creature enters the battlefield under your control, you may pay {2}{R}. If you do, that creature deals damage equal to its power to target creature or player.|Zendikar|Rare|Christopher Moeller|122|Whenever a creature enters the battlefield under your control, you may pay {2}{R}. If you do, that creature deals damage equal to its power to target creature or player.|
192221|Elemental Appeal|{R}{R}{R}{R}|Sorcery|||Kicker {5} <i>(You may pay an additional {5} as you cast this spell.)</i><br>Put a 7/1 red Elemental creature token with trample and haste onto the battlefield. Exile it at the beginning of the next end step. If Elemental Appeal was kicked, that creature gets +7/+0 until end of turn.|Zendikar|Rare|Anthony Francisco|123|Kicker {5} <i>(You may pay an additional {5} as you cast this spell.)</i><br>Put a 7/1 red Elemental creature token with trample and haste onto the battlefield. Exile it at the beginning of the next end step. If Elemental Appeal was kicked, that creature gets +7/+0 until end of turn.|
190399|Emeria Angel|{2}{W}{W}|Creature - Angel|3|3|Flying<br>Landfall- Whenever a land enters the battlefield under your control, you may put a 1/1 white Bird creature token with flying onto the battlefield.|Zendikar|Rare|Jim Murray|11|Flying<br>Landfall- Whenever a land enters the battlefield under your control, you may put a 1/1 white Bird creature token with flying onto the battlefield.|
190414|Emeria, the Sky Ruin||Land|||Emeria, the Sky Ruin enters the battlefield tapped.<br>At the beginning of your upkeep, if you control seven or more Plains, you may return target creature card from your graveyard to the battlefield.<br>{T}: Add {W} to your mana pool.|Zendikar|Rare|Jaime Jones|213|Emeria, the Sky Ruin enters the battlefield tapped.<br>At the beginning of your upkeep, if you control seven or more Plains, you may return target creature card from your graveyard to the battlefield.<br>{T}: Add {W} to your mana pool.|
189006|Eternity Vessel|{6}|Artifact|||Eternity Vessel enters the battlefield with X charge counters on it, where X is your life total.<br>Landfall- Whenever a land enters the battlefield under your control, you may have your life total become the number of charge counters on Eternity Vessel.|Zendikar|Mythic Rare|John Avon|200|Eternity Vessel enters the battlefield with X charge counters on it, where X is your life total.<br>Landfall- Whenever a land enters the battlefield under your control, you may have your life total become the number of charge counters on Eternity Vessel.|
193405|Expedition Map|{1}|Artifact|||{2}, {T}, Sacrifice Expedition Map: Search your library for a land card, reveal it, and put it into your hand. Then shuffle your library.|Zendikar|Common|Franz Vohwinkel|201|{2}, {T}, Sacrifice Expedition Map: Search your library for a land card, reveal it, and put it into your hand. Then shuffle your library.|
190396|Explorer's Scope|{1}|Artifact - Equipment|||Whenever equipped creature attacks, look at the top card of your library. If it's a land card, you may put it onto the battlefield tapped.<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|Zendikar|Common|Vincent Proce|202|Whenever equipped creature attacks, look at the top card of your library. If it's a land card, you may put it onto the battlefield tapped.<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|
189629|Feast of Blood|{1}{B}|Sorcery|||Cast Feast of Blood only if you control two or more Vampires.<br>Destroy target creature. You gain 4 life.|Zendikar|Uncommon|Jason Felix|88|Cast Feast of Blood only if you control two or more Vampires.<br>Destroy target creature. You gain 4 life.|
185743|Felidar Sovereign|{4}{W}{W}|Creature - Cat Beast|4|6|Vigilance, lifelink<br>At the beginning of your upkeep, if you have 40 or more life, you win the game.|Zendikar|Mythic Rare|Zoltan Boros & Gabor Szikszai|12|Vigilance, lifelink<br>At the beginning of your upkeep, if you have 40 or more life, you win the game.|
201962|Forest||Basic Land - Forest|||G|Zendikar|Land|Jung Park|247|G|
180361|Frontier Guide|{1}{G}|Creature - Elf Scout|1|1|{3}{G}, {T}: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.|Zendikar|Uncommon|Wayne Reynolds|161|{3}{G}, {T}: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.|
